"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","Temperature of Water_cel","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Nitrate as N_mg/l","Ammonia un-ionised as N_mg/l","pH_phunits","Oxygen, Dissolved as O2_mg/l","BOD : 5 Day ATU_mg/l","Nitrite as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",236,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2022-04-13",85,FALSE,1,2422,"BEANE","TL2977119790",376601,1,"",2003-10-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",571226,"2004-02-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,64,4,17,67.2,3.95,16,19,1.19,1,3,3,3.56,10,39,3.9,5.63,9.42,59.77,4.27,6.45,66.2,14,95,6.79,18,121,6.72,12,39,30.77,14,33,42.42,17,71.6,4.21,"No",2003,10,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.0403333333333333,16.7666666666667,97.6666666666667,0.03,5.07666666666667,0.00082,7.83333333333333,9.46,1.1,0.0348,5.11333333333333,3.8,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",106,280,0,2,31,0,2,0,48,62,21,531,3,33
"12",250,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2021-10-14",32,FALSE,1,2620,"BROOKHOUSE BROOK","TQ4780098000",366445,1,"",2003-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369999,"2004-01-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,44,3.67,12,44.5,3.71,NA,NA,NA,NA,NA,NA,NA,6,24,4,0.63,0.63,100,2.27,5.42,41.88,10,63,6.3,NA,NA,NA,NA,3,0,6,22,27.27,12,47.4,3.95,"No",2003,10,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",0.197,20.5,128,4.1,19.9,0.00736,8.11,11.48,3.5,0.58,20.5,NA,NA,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",51,20,0,0,0,1,2,0,4,87,12,165,1,2
"13",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2645,"RODING","TQ5030097400",365998,1,"",2003-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",359618,"2003-10-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,119,4.76,28,127.5,4.55,NA,NA,NA,NA,NA,NA,NA,19,84,4.42,1,1,100,5,11.1,45.05,24,147,6.13,NA,NA,NA,NA,3,0,18,57,31.58,28,129.2,4.61,"No",2003,10,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",0.045,18.5,87,0.913,4.38,0.001155,7.85,8.125,1.1,0.05125,4.43,3,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",110,349,100,80,243,20,210,0,31,110,31,1285,7,453
"14",256,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2022-05-13",42,FALSE,1,2719,"ALDERBOURNE","TQ0415783566",367601,1,"",2003-11-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369820,"2004-01-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,120,4.62,27,123.3,4.57,6,7,1.17,1,5,5,5.83,19,77,4.05,2.63,4.35,60.46,3.5,8.38,41.77,24,151,6.29,6,37,6.17,1,12,8.33,13,42,30.95,27,124.1,4.6,"No",2003,11,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",0.034,15.7,92,0.03,3.02,0.00067,7.8,9.115,1.1,0.0168,3.035,NA,NA,"64611936-C05E-4170-AC54-C80E00D83ACA",8,5,0,6,38,0,5,0,24,107,27,196,7,43
"15",262,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34045,1,"SU",98400,99400,"SU9840099400","GB106039029870",87,1.4,4.55,2,8.7,41.67,0,0,13,87,250,NA,NA,NA,"1995-01-01","1990-04-02","2006-10-25",22,FALSE,1,2811,"CHESS","SU9840099400",368134,1,"",2003-11-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369824,"2004-01-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,147,5.44,30,158.4,5.28,NA,NA,NA,NA,NA,NA,NA,21,102,4.86,1.63,2,81.5,9.05,13.93,64.97,28,198,7.07,NA,NA,NA,NA,3,0,29,62,46.77,30,158.7,5.29,"No",2003,11,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0014",0.249,17.9666666666667,93.6666666666667,2.19333333333333,9.16666666666667,0.00354,7.63333333333333,8.85,1.56666666666667,0.137033333333333,9.31666666666667,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",13,65,7,28,60,0,121,0,43,82,31,420,11,181
"16",265,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34049,1,"TL",55200,2600,"TL5520002600","GB106037033470",40,1.8,15.67,1,4.5,25,27,35,20,18,227,NA,NA,NA,"1995-01-01","1988-10-25","2009-05-20",27,FALSE,1,2856,"CRIPSEY BROOK","TL5520002600",367500,1,"",2003-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",368730,"2004-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,74,4.35,17,64.6,3.8,NA,NA,NA,NA,NA,NA,NA,12,44,3.67,NA,NA,NA,1.26,5.89,21.39,15,91,6.07,NA,NA,NA,NA,3,0,6,36,16.67,17,69.9,4.11,"No",2003,10,"8D306F88-CCE2-41A3-A586-3A42D33D38ED","TH-PRGR0013",0.0605,16.5,69,0.986,3.735,0.00102,7.755,6.725,2,0.04235,3.78,7.6,NA,"8D306F88-CCE2-41A3-A586-3A42D33D38ED",20,30,0,3,0,10,7,0,30,214,18,316,3,7
"17",267,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HARTSBOURNE",34053,1,"TQ",10800,94700,"TQ1080094700","GB106039029840",55,3.3,4.52,1,1.6,7,9,82,6,3,147,NA,NA,NA,"1995-01-01","1990-03-06","2006-10-25",14,FALSE,1,2877,"HARTSBOURNE","TQ1080094700",368124,1,"",2003-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369521,"2004-01-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,43,3.58,13,47.8,3.68,4,4,1,1,1,1,1,7,25,3.57,1.63,3.34,48.8,1.75,3.45,50.72,10,66,6.6,4,26,6.5,2,10,20,6,22,27.27,13,50.5,3.88,"No",2003,11,"3730FA2D-3930-4647-A498-FB487A84625A","TH-PCNR0062",0.268666666666667,18.3333333333333,88,0.426666666666667,2.18,0.00860666666666667,8.01,8.25666666666667,8.63333333333333,0.0739,2.25333333333333,NA,NA,"3730FA2D-3930-4647-A498-FB487A84625A",67,120,0,2,0,0,1,0,53,7,14,250,1,1
"18",268,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","OLD RIVER CHESS",34054,1,"SU",99900,98500,"SU9990098500","GB106039029870",85,2.5,6.57,1,5.1,33.33,7,51,32,10,248,NA,NA,NA,"1995-01-01","1990-03-06","2006-10-23",19,FALSE,1,2883,"OLD RIVER CHESS","SU9990098500",368133,1,"",2003-11-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369529,"2004-01-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,137,5.27,27,130.6,4.84,6,7,1.17,1,5,5,5.83,19,79,4.16,3.51,4.73,74.21,3.52,7.89,44.61,24,161,6.71,6,46,7.67,7,14,50,15,43,34.88,27,136.8,5.07,"No",2003,11,"5B9967EA-C76A-4969-BB13-3DCDA6A7AD0D","TH-PCNR0207",0.15,16.85,99,1.605,7.1,0.002705,7.8,9.575,1.35,0.08915,7.19,NA,NA,"5B9967EA-C76A-4969-BB13-3DCDA6A7AD0D",33,48,1,6,14,0,14,0,20,144,29,303,8,28
"19",271,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","POTTERS BAR BROOK",34057,1,"TL",23254,2380,"TL2325402380","GB106039029850",80,5,5.27,1,1.7,11,13,60,18,8,178,NA,NA,NA,"1995-01-01","1990-03-01","2013-09-19",18,FALSE,1,2907,"POTTERS BAR BROOK","TL2325402380",367598,1,"",2003-11-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361315,"2003-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,49,4.08,12,49.1,4.09,NA,NA,NA,NA,NA,NA,NA,7,30,4.29,1.76,1.76,100,3,4.23,70.92,10,65,6.5,NA,NA,NA,NA,3,0,9,22,40.91,12,48.8,4.07,"No",2003,11,"79612B91-E313-4E0E-ABD0-FD1917B088C5","TH-PCNR0083",0.0534,16.2,100.8,0.8346,3.598,0.001476,8.184,9.862,1.86,0.04948,3.648,NA,NA,"79612B91-E313-4E0E-ABD0-FD1917B088C5",35,40,0,0,6,0,15,0,55,10,12,162,2,21
"20",272,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HORTON BROOK",34061,1,"TQ",1800,72400,"TQ0180072400","GB106039023000",16,1.8,14.25,1,3.6,31.67,6,29,10,55,157,NA,NA,NA,"1995-01-01","1990-03-08","2014-09-22",24,FALSE,1,2915,"HORTON BROOK","TQ0180072400",366630,1,"",2003-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",370003,"2004-01-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,110,5.24,23,117.4,5.1,NA,NA,NA,NA,NA,NA,NA,17,73,4.29,0.63,0.63,100,3.48,7.62,45.67,19,126,6.63,NA,NA,NA,NA,3,0,10,38,26.32,23,118.6,5.16,"No",2003,10,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3","TH-PCNR0063",0.067,20.05,75.5,0.115,0.1905,0.00127,7.7,6.84,1.15,0.0199,0.21,NA,NA,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3",63,50,4,60,10,1,3,0,25,114,24,352,5,13
"21",279,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34081,1,"TL",18163,3619,"TL1816303619","GB106039029820",68,1,7.27,1,3.7,22.67,6,57,17,20,207,NA,NA,NA,"1995-01-01","1982-08-31","2019-05-07",51,FALSE,1,2996,"COLNE","TL1816303619",367599,1,"",2003-11-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361338,"2003-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,83,4.37,19,76.4,4.02,NA,NA,NA,NA,NA,NA,NA,12,49,4.08,0.63,0.63,100,2.75,6.18,44.5,17,107,6.29,NA,NA,NA,NA,3,0,10,35,28.57,19,81.8,4.31,"No",2003,11,"243814DD-38DB-49EA-B1A8-0CE0BB58D768","TH-PCNR0189",0.053,NA,NA,NA,NA,NA,8.29,NA,NA,NA,NA,NA,NA,"243814DD-38DB-49EA-B1A8-0CE0BB58D768",69,55,0,0,24,3,6,0,25,140,20,322,5,30
"22",298,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34148,1,"TL",11874,18297,"TL1187418297","GB106038033392",98,2.3,11.5,1,3.4,11.33,19,64,8,8,184,NA,NA,NA,"1995-01-01","1979-12-03","2021-05-19",56,FALSE,1,3300,"LEE (THAMES)","TL1187418297",368138,1,"",2003-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369804,"2004-01-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,61,4.36,14,54.9,3.92,13,15,1.15,1,3,3,3.46,9,33,3.67,2.5,6.78,36.87,1.25,3.2,39.06,12,76,6.33,13,82,6.31,5,29,17.24,7,26,26.92,14,60.2,4.3,"No",2003,10,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4","TH-PLER0050",0.03,17,99,0.05,4.37,0.00044,7.68,9.54,1,0.0142,4.38,11.3,NA,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4",26,540,0,2,4,0,1,0,30,20,15,623,4,5
"23",305,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STANSTED BROOK",34162,1,"TL",50500,24000,"TL5050024000","GB106038040090",64,5,8.21,1,3.3,10,21,67,9,3,244,NA,NA,NA,"1995-01-01","1979-10-08","2022-03-16",48,FALSE,1,3411,"STANSTED BROOK","TL5050024000",368143,1,"",2003-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369516,"2003-12-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,107,4.65,24,109.9,4.58,10,13,1.3,1,5,5,6.5,14,63,4.5,4.01,5.84,68.66,4.02,6.95,57.84,22,147,6.68,10,69,6.9,8,20,40,19,43,44.19,24,112.8,4.7,"No",2003,11,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD","TH-PLER0137",0.032,16.6,93,0.04,5.61,0.00094,8.1,9.04,1.4,0.0126,5.62,NA,NA,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD",118,510,2,24,41,0,2,0,22,205,25,925,6,43
"24",319,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34206,1,"TQ",3941,74915,"TQ0394174915","GB106039023090",20,0.6,60,4,11.1,65,2,44,10,45,232.9,NA,NA,NA,"1995-01-01","1983-01-11","2020-11-06",40,FALSE,1,3680,"COLNE","TQ0394174915",368391,1,"",2003-11-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",362073,"2003-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,141,4.86,30,137.9,4.6,8,8,1,1,5,5,5,22,90,4.09,3.13,7.42,42.18,4.02,10.63,37.82,27,167,6.19,10,69,6.9,5,21,23.81,15,53,28.3,30,141.5,4.72,"No",2003,11,"FE613D76-B6C2-4431-8677-B6265E341DDC","TH-PCNR0375",0.061,19,95,0.575,9.01,0.00205,7.98,8.79,1,0.113,9.12,3,NA,"FE613D76-B6C2-4431-8677-B6265E341DDC",28,60,1,5,39,22,34,0,38,140,30,369,7,73
"25",336,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2021-11-11",37,FALSE,1,3961,"CRANE","TQ1116574665",366629,1,"",2003-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361930,"2003-12-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,108,4.5,24,90,3.75,7,9,1.29,1,5,5,6.43,17,58,3.41,1,3.43,29.15,1.5,6.4,23.44,22,131,5.95,7,42,6,2,13,15.38,6,38,15.79,24,95.6,3.98,"No",2003,10,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",0.07,19.9666666666667,96.3333333333333,0.367666666666667,2.42333333333333,0.00221333333333333,7.93333333333333,8.71333333333333,2.03333333333333,0.0771333333333333,2.5,NA,NA,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",80,60,7,2,2,21,20,0,100,237,24,551,3,22
"26",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4198,"MISBOURNE","TQ0130088350",375221,1,"",2003-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369510,"2003-12-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,87,5.44,19,105.6,5.56,6,7,1.17,1,3,3,3.5,15,81,5.4,2.88,4.11,70.07,5.78,8.47,68.24,15,117,7.8,6,45,7.5,6,14,42.86,19,36,52.78,19,106.4,5.6,"No",2003,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.0373333333333333,16.6566666666667,103.3,0.03,4.77,0.000506666666666667,7.65666666666667,10.0233333333333,1.03333333333333,0.0411333333333333,4.81333333333333,3,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",82,55,1,12,91,1,32,0,62,7,20,343,7,123
"27",358,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2022-10-13",53,FALSE,1,4392,"BULBOURNE","TL0265406341",365875,1,"",2003-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",359501,"2003-10-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,62,3.88,16,63.3,3.96,5,5,1,1,3,3,3,10,41,4.1,2.5,3.84,65.1,3.26,5.45,59.82,14,95,6.79,5,35,7,5,13,38.46,13,31,41.94,16,64.5,4.03,"No",2003,10,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",0.308666666666667,19.3766666666667,95.9666666666667,1.48666666666667,7.12,0.0101633333333333,7.97,8.8,5.23333333333333,0.242666666666667,7.36,NA,NA,"D663FC0F-45DD-4985-9A6B-41B54349080A",54,170,2,0,36,0,3,0,51,57,17,374,3,39
"28",360,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34307,1,"SU",98037,99623,"SU9803799623","GB106039029870",88,2.2,4.07,1,6.1,15.33,5,58,22,15,254,NA,NA,NA,"1995-01-01","1982-08-24","2022-11-22",36,FALSE,1,4463,"CHESS","SU9803799623",368132,1,"",2003-11-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",369816,"2003-12-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,125,5,27,132.4,4.9,NA,NA,NA,NA,NA,NA,NA,19,85,4.47,1.13,1.13,100,5.78,9.93,58.21,24,165,6.88,NA,NA,NA,NA,3,0,21,47,44.68,27,132.4,4.9,"No",2003,11,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0012",0.03,15.9666666666667,105,0.0633333333333333,4.64,0.000463333333333333,7.73333333333333,10.3633333333333,1.1,0.0139666666666667,4.65333333333333,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",64,522,2,63,102,1,7,0,33,119,29,923,7,109
"29",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,1,4567,"GADE","TL0412810065",367819,1,"",2003-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",597783,"2004-02-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,127,5.29,26,125.4,4.82,21,31,1.48,5,5,5,7.38,19,79,4.16,8.38,13.03,64.31,5.28,9.21,57.33,22,151,6.86,24,169,7.04,20,53,37.74,20,49,40.82,26,130.4,5.02,"No",2003,11,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0168",0.062,19.5,151.5,NA,NA,0.00175,7.89,13.85,2.4,NA,NA,7.05,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",137,460,21,61,299,0,2,0,75,22,32,1143,9,301
