"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","pH_phunits","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3716,"RODING","TQ5030097400",802210,1,"",2019-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798086,"2019-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,119,5.17,27,131.5,4.87,15,21,1.4,3,5,5,7,24,108,4.5,5.5,11.51,47.78,3.5,8.35,41.92,22,145,6.59,21,146,6.95,9,42,21.43,14,44,31.82,27,130.1,4.82,"No",2019,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",1.07,52.0666666666667,16.5666666666667,0.0543333333333333,0.00125,4.26666666666667,4.21333333333333,7.71333333333333,5.04333333333333,0.0843333333333333,1.06666666666667,NA,NA,NA,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",34,40,0,72,51,41,12,0,61,215,35,533,8,63
"12",388,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2020-10-07",39,FALSE,1,3778,"ALDERBOURNE","TQ0415783566",804736,1,"",2019-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797456,"2020-01-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,165,6.11,29,166.1,5.73,21,31,1.48,5,7,7,10.33,26,123,4.73,12,19.24,62.37,7.78,13.12,59.3,26,186,7.15,27,202,7.48,28,58,48.28,29,52,55.77,29,170.7,5.89,"No",2019,11,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",0.0283333333333333,83.3333333333333,15,0.0101,0.000773333333333333,3.52666666666667,3.51333333333333,8.00333333333333,8.4,0.0316666666666667,1,NA,4.62666666666667,2.1,"64611936-C05E-4170-AC54-C80E00D83ACA",30,410,0,24,53,4,77,0,62,312,44,972,20,130
"13",393,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2021-04-22",65,FALSE,1,3839,"VER","TL1422201418",806171,1,"",2019-11-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798013,"2020-02-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,89,5.24,20,113.7,5.69,10,19,1.9,5,3,5,9.5,18,99,5.5,10.5,12.83,81.84,6.02,8.71,69.12,17,130,7.65,18,143,7.94,21,35,60,21,33,63.64,20,112.4,5.62,"No",2019,11,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.0455,97.85,15.8,0.013,0.00084,4.25,4.24,8.13,9.67,0.03,NA,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",22,2300,2,128,29,2,44,0,18,2,23,2547,8,73
"14",395,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34046,1,"TQ",12029,98067,"TQ1202998067","GB106039029840",55,1,18.57,3,6.7,48.33,6,69,11,14,227,NA,NA,NA,"1995-01-01","1986-09-29","2020-10-07",44,FALSE,1,3868,"COLNE","TQ1202998067",804737,1,"",2019-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797454,"2019-12-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,79,5.64,14,78,5.57,12,17,1.42,5,3,5,7.08,11,56,5.09,10.5,13.32,78.83,4.54,6.94,65.42,12,89,7.42,19,144,7.58,25,44,56.82,18,30,60,14,76.9,5.49,"No",2019,11,"47236A17-7553-4DF4-AA3A-4880745E0B56","TH-PCNR0026",0.59,84.15,19,0.0245,0.000875,26.5,26.5,7.745,7.79,0.047,1,NA,7.75,2.45,"47236A17-7553-4DF4-AA3A-4880745E0B56",40,307,0,94,107,0,13,0,47,371,27,979,11,120
"15",402,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","TYKESWATER",34056,1,"TL",15600,1500,"TL1560001500","GB106039023100",65,2.2,10.47,1,3.7,26,9,68,11,12,148,NA,NA,NA,"1995-01-01","1990-03-01","2019-11-29",25,FALSE,1,3934,"TYKESWATER","TL1560001500",806172,1,"",2019-11-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798065,"2019-11-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,116,5.27,25,130.5,5.22,16,23,1.44,3,5,5,7.19,21,100,4.76,12.38,17.16,72.14,7.28,11.14,65.35,22,150,6.82,25,185,7.4,32,66,48.48,24,50,48,25,132.9,5.32,"No",2019,11,"D3AD0B88-3198-4F79-9D66-3BEB56272118","TH-PCNR0086",2.995,98.9666666666667,16.0333333333333,0.02115,0.001065,3.625,3.605,8.27,9.69666666666667,0.04,NA,NA,NA,NA,"D3AD0B88-3198-4F79-9D66-3BEB56272118",157,124,1,603,90,0,505,0,94,2049,40,3623,19,595
"16",423,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34111,1,"TL",19650,19000,"TL1965019000","GB106038033460",79,3.6,5.55,1,4.5,22.6,3,70,14,13,253.1,NA,NA,NA,"2012-10-04","2002-04-19","2020-10-06",41,FALSE,1,4195,"MIMRAM","TL1965019000",805316,1,"",2019-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797589,"2019-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,148,5.48,34,181.8,5.35,22,43,1.95,3,5,5,9.77,31,146,4.71,11.27,17.4,64.77,5.79,8.99,64.4,27,187,6.93,28,205,7.32,23,53,43.4,22,53,41.51,34,185,5.44,"No",2019,10,"12BD22E1-643A-4BD9-B1DF-75A036EDE060","TH-PLER0288",0.3705,93.65,14.95,0.01255,0.000875,5.74,5.725,8.16,9.445,0.0335,NA,NA,NA,NA,"12BD22E1-643A-4BD9-B1DF-75A036EDE060",136,773,9,41,20,0,54,1,216,24,43,1274,11,75
"17",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4549,"MIMRAM","TL2075418006",805354,1,"",2019-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",797587,"2019-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,137,5.27,35,174.7,4.99,30,62,2.07,5,5,5,10.33,29,139,4.79,20.52,30.33,67.66,8.05,14.16,56.85,27,182,6.74,38,277,7.29,39,86,45.35,28,72,38.89,35,174.6,4.99,"No",2019,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.655,98.75,16.45,0.041,0.002295,7.2,7.16,8,9.635,0.085,NA,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",199,1880,34,403,58,0,905,0,159,442,53,4086,19,963
"18",448,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","GT HALLINGBURY BROOK",34190,1,"TL",49800,19100,"TL4980019100","GB106038033330",55,2.9,6.4,1,3.3,27.67,3,46,23,28,261,NA,NA,NA,"1995-01-01","1981-07-20","2020-10-20",31,FALSE,1,4641,"GT HALLINGBURY BROOK","TL4980019100",803643,1,"",2019-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",795502,"2019-11-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,50,4.17,13,59.4,4.57,10,16,1.6,3,1,3,4.8,10,43,4.3,5.76,8.09,71.2,4.26,6.67,63.87,11,80,7.27,13,92,7.08,12,33,36.36,13,27,48.15,13,58.3,4.48,"No",2019,10,"ED5A4422-733B-44FB-865C-8E254B487A79","TH-PLER0039",1.75,96.65,19.2,0.031,0.00405,25.5,25.5,7.9,8.91,0.0935,NA,NA,NA,NA,"ED5A4422-733B-44FB-865C-8E254B487A79",52,26,0,120,25,0,1,0,5,103,18,332,4,26
"19",452,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WRAYSBURY RIVER",34207,1,"TQ",2700,73200,"TQ0270073200","GB106039023090",15,0.8,56.42,2,5,40,2,51,23,23,248,NA,NA,NA,"1995-01-01","1983-01-11","2020-10-07",45,FALSE,1,4735,"WRAYSBURY RIVER","TQ0270073200",804734,1,"",2019-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797462,"2020-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,123,5.35,25,133,5.32,18,33,1.83,5,5,5,9.17,24,123,5.13,11.25,16.76,67.12,6.77,11.16,60.66,22,161,7.32,25,186,7.44,28,56,50,22,43,51.16,25,131.5,5.26,"No",2019,11,"8D7908FB-7A2D-4EEF-810F-85C4347008A8","TH-PCNR0103",0.357666666666667,91.44,17.36,0.0349333333333333,0.00142,14.1333333333333,14.1,7.998,8.742,0.058,1,NA,5.95666666666667,3.4,"8D7908FB-7A2D-4EEF-810F-85C4347008A8",9,138,0,298,20,9,80,0,47,26,43,631,12,100
"20",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,2,4788,"RIB","TL3315413930",801992,1,"",2019-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798162,"2019-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,136,5.91,27,160.4,5.94,26,65,2.5,5,5,5,12.5,25,116,4.64,22.38,28.39,78.83,9.53,13.9,68.56,23,166,7.22,31,248,8,44,75,58.67,28,51,54.9,27,153.6,5.69,"No",2019,9,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.548666666666667,72.1333333333333,16.5666666666667,0.0234,0.00065,4.66,4.63666666666667,7.85666666666667,7.03,0.0303333333333333,1,NA,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",73,188,0,100,102,1,246,24,107,177,47,1021,23,372
"21",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,2,4789,"RIB","TL3315413930",803571,1,"",2019-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796466,"2019-12-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,94,5.88,16,95.2,5.95,11,15,1.36,3,3,3,4.09,12,63,5.25,8.5,11.08,76.71,6.3,8.72,72.25,14,111,7.93,15,116,7.73,19,30,63.33,22,30,73.33,16,95,5.94,"No",2019,10,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.548666666666667,72.1333333333333,16.5666666666667,0.0234,0.00065,4.66,4.63666666666667,7.85666666666667,7.03,0.0303333333333333,1,NA,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",4,100,0,6,28,0,31,0,22,41,21,232,10,59
"22",456,"THAMES - SOUTH EAST","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","QUAGGY",34216,1,"TQ",39400,74800,"TQ3940074800","GB106039023290",15,2,15.97,1,4,12.5,20,55,10,15,199,NA,NA,NA,"2012-01-01","1985-02-04","2019-10-08",34,FALSE,1,4828,"QUAGGY","TQ3940074800",802581,1,"",2019-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796959,"2020-01-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,79,4.39,20,84.9,4.25,17,21,1.24,1,3,3,3.71,16,70,4.38,7.51,13.39,56.09,3.76,6.47,58.11,17,112,6.59,19,126,6.63,14,42,33.33,14,38,36.84,20,87.4,4.37,"No",2019,10,"8F3A4A03-4A15-4694-A615-8F0B02B72A65","TH-PRVR0019",0.483666666666667,98.4333333333333,17.4333333333333,0.0627666666666667,0.00188,3.58,3.51666666666667,8.08666666666667,9.40333333333333,0.0696666666666667,NA,NA,NA,NA,"8F3A4A03-4A15-4694-A615-8F0B02B72A65",57,200,8,0,14,0,20,0,21,266,25,586,5,34
"23",475,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34273,1,"TL",39116,23911,"TL3911623911","GB106038033360",67,2.5,16.33,2,9,20,10,58,24,8,282,NA,NA,NA,"1995-01-01","1983-03-02","2019-10-24",46,FALSE,1,5044,"RIB","TL3911623911",803575,1,"",2019-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796020,"2019-12-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,108,5.4,21,119,5.67,17,26,1.53,5,5,5,7.65,19,96,5.05,11.38,15.19,74.92,6.54,10.17,64.31,19,141,7.42,20,161,8.05,28,44,63.64,24,41,58.54,21,115.3,5.49,"No",2019,10,"1E3DF84F-83C4-42E7-B852-11229F262DC7","TH-PLER0479",0.705,85.35,12.9,0.03335,0.00038,8.42,8.39,7.575,8.99,0.0435,NA,NA,3.6,4.3,"1E3DF84F-83C4-42E7-B852-11229F262DC7",4,81,1,20,21,0,30,0,16,246,27,420,11,51
"24",477,"THAMES - SOUTH EAST","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",34277,1,"TQ",27885,66886,"TQ2788566886","GB106039023460",24,3,16.5,3,12.2,19.33,8,45,33,13,240,NA,NA,NA,"1995-01-01","1985-02-26","2020-10-06",53,FALSE,1,5081,"WANDLE","TQ2788566886",802641,1,"",2019-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",795225,"2019-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,110,4.78,24,110.1,4.59,30,38,1.27,3,5,5,6.33,20,96,4.8,17.02,24.37,69.84,8.06,11.51,70.03,22,153,6.95,32,231,7.22,35,75,46.67,24,50,48,24,115.4,4.81,"No",2019,10,"78A44CB7-DF2D-492F-B06B-C703437C0EBD","TH-PWAR0053",0.0673333333333333,97.2,15.7,0.0503,0.00152,5.26,5.21,7.98666666666667,9.60666666666667,0.0616666666666667,NA,NA,NA,NA,"78A44CB7-DF2D-492F-B06B-C703437C0EBD",25,631,8,2,326,2,82,0,425,146,45,1664,13,408
"25",482,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34292,1,"SU",94730,97920,"SU9473097920","GB106039029830",98,2.8,7.78,1,4,25,4,21,15,60,209,NA,NA,NA,"1995-01-01","1982-10-27","2020-10-13",66,FALSE,1,5162,"MISBOURNE","SU9473097920",806338,1,"",2019-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797574,"2019-10-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,75,5.36,18,101.1,5.62,8,15,1.88,3,3,3,5.63,17,86,5.06,8.76,11.58,75.65,5.03,7.22,69.67,13,100,7.69,13,102,7.85,15,27,55.56,19,31,61.29,18,101.5,5.64,"No",2019,10,"7D79B831-47FD-470E-A5B2-1EADF07F3307","TH-PCNR0422",0.012,89.4666666666667,17.4333333333333,0.0134333333333333,0.00122666666666667,1.12666666666667,1.112,8.06666666666667,8.54,0.041,NA,NA,5.18333333333333,2.56666666666667,"7D79B831-47FD-470E-A5B2-1EADF07F3307",43,1042,0,11,5,0,65,0,18,20,21,1205,5,70
"26",483,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2020-10-13",83,FALSE,1,5219,"MISBOURNE","TQ0130088350",806342,1,"",2019-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797577,"2019-10-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",33,189,5.73,40,227.2,5.68,31,61,1.97,5,7,7,13.77,33,173,5.24,19.89,28.47,69.86,9.8,15.42,63.55,32,230,7.19,39,293,7.51,39,77,50.65,34,68,50,40,228.8,5.72,"No",2019,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.0315,81.25,15.35,0.0405,0.001625,3.7,3.66,7.995,8.11,0.071,NA,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",91,4139,12,33,95,0,358,1,84,723,51,5536,21,454
"27",486,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","PINN",34297,1,"TQ",5809,80966,"TQ0580980966","GB106039023070",30,1.3,19.27,1,4.1,28.33,3,65,13,18,178,NA,NA,NA,"1995-01-01","1982-12-03","2019-11-15",32,FALSE,1,5297,"PINN","TQ0580980966",804733,1,"",2019-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",815477,"2020-03-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,64,5.33,12,57.6,4.8,6,6,1,1,3,3,3,12,55,4.58,3,6.93,43.29,1.51,4.4,34.32,10,67,6.7,13,89,6.85,7,33,21.21,7,22,31.82,12,61.2,5.1,"No",2019,11,"CD86639E-2475-4E5C-BB95-E92B88FD0271","TH-PCNR0075",0.243,89.3,15.8666666666667,0.0701666666666667,0.00444333333333333,2.48666666666667,2.41666666666667,8.04,8.82,0.169666666666667,NA,NA,NA,NA,"CD86639E-2475-4E5C-BB95-E92B88FD0271",210,139,0,27,6,0,8,0,114,95,22,599,6,14
"28",491,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34307,1,"SU",98037,99623,"SU9803799623","GB106039029870",88,2.2,4.07,1,6.1,15.33,5,58,22,15,254,NA,NA,NA,"1995-01-01","1982-08-24","2020-10-06",32,FALSE,1,5429,"CHESS","SU9803799623",804294,1,"",2019-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",797998,"2020-02-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,92,5.41,20,112.2,5.61,12,23,1.92,5,3,5,9.58,18,98,5.44,9.88,13.93,70.93,4.79,7.69,62.29,16,121,7.56,17,135,7.94,24,41,58.54,22,36,61.11,20,113.3,5.67,"No",2019,11,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0014",0.93,76.4666666666667,18.0666666666667,0.19,0.00197666666666667,22.3333333333333,22.1666666666667,7.745,7.20333333333333,0.137,NA,NA,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",22,1100,0,195,170,0,18,1,16,58,24,1584,10,189
"29",494,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34310,1,"TQ",2648,98966,"TQ0264898966","GB106039029870",69,2.2,9.37,2,11,25,1,65,24,10,251,NA,NA,NA,"2002-01-01","1982-09-06","2020-10-06",70,FALSE,1,5498,"CHESS","TQ0264898966",803367,1,"",2019-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",796780,"2019-12-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,97,5.71,19,106.8,5.62,16,33,2.06,5,3,5,10.31,17,91,5.35,12.88,16.31,78.97,6.51,9.16,71.07,16,119,7.44,23,179,7.78,31,47,65.96,21,36,58.33,19,106.4,5.6,"No",2019,10,"4D3568F7-84B5-47B7-9891-34A78972E178","TH-PCNR0145",0.32,88.15,17.25,0.031,0.000925,9.45,9.42,8.07,8.455,0.03,1,NA,5.1,3.6,"4D3568F7-84B5-47B7-9891-34A78972E178",27,396,0,6,27,0,307,0,59,55,33,877,12,334
"30",496,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2020-10-06",75,FALSE,2,5561,"GADE","TL0412810065",802211,1,"",2019-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",798084,"2019-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,97,5.39,24,125.3,5.22,13,27,2.08,5,3,5,10.38,19,90,4.74,8.5,10.1,84.16,5.56,7.04,78.98,19,144,7.58,18,142,7.89,23,34,67.65,25,41,60.98,24,129.6,5.4,"No",2019,9,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",0.0273333333333333,139.5,15.4333333333333,0.0378,0.00062,3.79666666666667,3.76,7.84666666666667,13.84,0.0333333333333333,3.14666666666667,NA,11.0833333333333,57.8666666666667,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",83,1083,2,2,742,0,11,0,39,10,28,1972,8,753
