"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrogen, Total Oxidised as N_mg/l","Nitrate as N_mg/l","BOD : 5 Day ATU_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"17",321,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34211,1,"TQ",46600,96900,"TQ4660096900","GB106037028182",22,0.9,48.23,3,8,38.33,8,65,9,18,220,NA,NA,NA,"1995-01-01","1975-01-15","2015-10-29",30,FALSE,1,3748,"RODING","TQ4660096900",384386,1,"",2004-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",381453,"2004-11-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,53,3.79,15,51.6,3.44,NA,NA,NA,NA,NA,NA,NA,10,44,4.4,NA,NA,NA,0.5,5.61,8.91,13,78,6,NA,NA,NA,NA,3,0,3,29,10.34,15,56,3.73,"No",2004,9,"A47B9210-D105-41B4-9DA6-4EAA2CF80973","TH-PRGR0027",5.9,5.75,2.3,0.153,0.00169,53,1.75,19,4.9,0.088,7.73,NA,NA,"A47B9210-D105-41B4-9DA6-4EAA2CF80973",102,130,0,4,0,30,0,0,300,77,15,658,0,0
"18",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3762,"RIB","TL3315413930",384908,1,"",2004-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",418180,"2005-04-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,63,5.73,12,60.4,5.03,NA,NA,NA,NA,NA,NA,NA,8,38,4.75,NA,NA,NA,1.51,2.97,50.84,10,72,7.2,NA,NA,NA,NA,4,0,7,20,35,12,61.5,5.13,"No",2004,10,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",6.69,6.68,1.5,0.0094,0.00071,94.5,0.2615,13.6,9.805,0.03,8.19,9.15,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",100,3,0,50,8,0,10,0,100,4,12,275,4,18
"19",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4199,"MISBOURNE","TQ0130088350",392629,1,"",2004-10-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",389393,"2005-03-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,126,5.73,24,136,5.67,18,32,1.78,5,5,5,8.89,19,104,5.47,11.76,13.6,86.47,8.8,10.29,85.52,21,162,7.71,21,167,7.95,28,40,70,26,40,65,24,137.5,5.73,"No",2004,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",4.33,4.29333333333333,1.7,0.0381666666666667,0.00109666666666667,102.933333333333,0.033,16.2966666666667,10.0766666666667,0.071,7.72333333333333,3.13333333333333,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",23,50,2,27,92,0,25,0,19,21,27,259,11,117
"20",381,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2021-10-14",62,FALSE,1,4813,"LEE (THAMES)","TL2983509755",390304,1,"",2004-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386588,"2005-01-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,97,4.85,22,105.7,4.8,NA,NA,NA,NA,NA,NA,NA,16,70,4.38,0.63,0.63,100,4.77,7.69,62.03,19,127,6.68,1,6,6,NA,5,0,13,36,36.11,22,107.2,4.87,"No",2004,11,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",11.595,7.76,1,0.0249,0.00068,102.025,1.41,17.8275,9.66,0.03,7.935,4.8,1.52,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",31,25,10,50,56,0,11,0,22,30,22,235,7,67
"21",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5044,"RODING","TL5610404058",384260,1,"",2004-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",379644,"2004-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,56,5.09,12,55.4,4.62,NA,NA,NA,NA,NA,NA,NA,7,32,4.57,NA,NA,NA,0.75,3.47,21.61,10,65,6.5,NA,NA,NA,NA,3,0,7,25,28,12,58.1,4.84,"No",2004,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",2.08,2.065,1.3,0.0138,0.001055,77.5,0.2775,16.5,7.635,0.043,7.905,10.75,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",60,231,0,0,11,10,1,0,20,10,12,343,3,12
"22",394,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2022-05-10",81,FALSE,1,5115,"ASH (LEE)","TL4242016910",391275,1,"",2004-09-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",387722,"2005-01-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,144,5.33,28,156.4,5.59,NA,NA,NA,NA,NA,NA,NA,19,83,4.37,2.26,2.26,100,9.02,13.41,67.26,25,177,7.08,NA,NA,NA,NA,4,0,27,52,51.92,28,153.1,5.47,"No",2004,9,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",6.48666666666667,6.46,1.16666666666667,0.0297666666666667,0.000616666666666667,87.3333333333333,0.037,13.5,9.07333333333333,0.041,7.79666666666667,3.5,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",501,93,0,74,23,0,44,9,132,31,30,910,9,76
"23",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5172,"ASH (LEE)","TL3770013300",389653,1,"",2004-09-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",385683,"2004-09-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,121,6.72,19,121.8,6.41,NA,NA,NA,NA,NA,NA,NA,12,68,5.67,NA,NA,NA,5.55,8.24,67.35,19,144,7.58,NA,NA,NA,NA,NA,NA,23,35,65.71,19,119.8,6.31,"No",2004,9,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",7.14666666666667,7.11666666666667,1.53333333333333,0.0311333333333333,0.000803333333333333,97.5,0.459,14.0666666666667,10.0233333333333,0.0333333333333333,7.98666666666667,4.03333333333333,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",1,160,0,63,68,0,111,0,0,116,19,520,12,179
"24",397,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2022-04-12",78,FALSE,1,5232,"STEVENAGE BROOK","TL2870020400",386116,1,"",2004-10-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388665,"2005-02-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,58,4.46,13,61.2,4.71,10,10,1,1,3,3,3,9,38,4.22,4,6.44,62.11,3.26,4.71,69.21,12,83,6.92,12,86,7.17,9,23,39.13,9,23,39.13,13,59.5,4.58,"No",2004,10,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",3.15666666666667,3.11333333333333,2,0.0439333333333333,0.00143666666666667,99.6666666666667,0.0863333333333333,17.3,9.56333333333333,0.0446666666666667,8.18,NA,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",28,72,0,2,152,0,4,0,0,18,13,276,3,156
"25",430,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","LAMBOURN",34649,1,"SU",48847,67344,"SU4884767344","GB106039023220",74,1.3,25.3,5,7,47,2,68,18,12,237,NA,NA,NA,"1995-01-01","1995-04-04","2017-10-04",20,FALSE,1,5432,"LAMBOURN","SU4884767344",386170,1,"",2004-09-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",383341,"2004-11-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,139,6.04,28,176.7,6.31,NA,NA,NA,NA,NA,NA,NA,21,116,5.52,2.63,2.63,100,14.31,18.66,76.69,23,186,8.09,NA,NA,NA,NA,4,0,42,59,71.19,28,172.7,6.17,"No",2004,9,"C4DB7529-F37F-4BFC-856A-09022C0D2A36","TH-PKER0058",6.43333333333333,6.41666666666667,1.53333333333333,0.0155,0.000716666666666667,96.8,0.03,14.94,9.76333333333333,0.0306666666666667,7.98,3.7,0.0505,"C4DB7529-F37F-4BFC-856A-09022C0D2A36",160,4301,1,290,682,0,433,2,138,220,30,6229,12,1117
"26",436,"THAMES - WEST","THAMES","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","SWERE",34658,1,"SP",40695,33481,"SP4069533481","GB106039037220",105,0.3,11.91,2,4.2,27.67,30,32,20,18,193,NA,NA,NA,"1995-01-01","1995-04-25","2004-11-05",9,FALSE,1,5486,"SWERE","SP4069533481",387048,1,"",2004-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",382492,"2004-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,132,5.5,26,148.1,5.7,NA,NA,NA,NA,NA,NA,NA,17,82,4.82,1.13,1.62,69.75,6.04,11.38,53.08,23,170,7.39,NA,NA,NA,NA,3,0,23,45,51.11,26,145.3,5.59,"No",2004,11,"DE70BE75-BF76-4455-9FC2-B6A4F65CC656","TH-PCHR0086",7.765,7.755,1.15,0.0104,0.000725,96.45,0.378,13.885,9.935,0.03,8.2,NA,NA,"DE70BE75-BF76-4455-9FC2-B6A4F65CC656",32,237,0,107,16,1,165,0,25,49,26,637,8,181
"27",441,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","THAMES (W AREA)",34675,1,"SP",52452,4418,"SP5245204418","GB106039030334",55,0.4,90,10,34.7,140.67,5,40,35,20,209,NA,NA,NA,"1995-01-01","1995-04-10","2004-11-25",7,FALSE,1,5512,"THAMES (W AREA)","SP5245204418",387567,1,"",2004-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388498,"2004-12-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,114,5.7,20,99.4,4.97,11,32,2.91,7,5,7,20.36,10,53,5.3,2.5,6.4,39.06,1.75,5.38,32.53,18,118,6.56,17,112,6.59,4,28,14.29,8,30,26.67,20,102.5,5.13,"No",2004,11,"4DCE0549-25D7-498C-9B56-347354A5DEB9","TH-PTHR0186",5.16333333333333,5.13666666666667,1.26666666666667,0.0283666666666667,0.00118,95.7,0.261666666666667,19.0066666666667,8.9,0.034,8.14,5.73333333333333,NA,"4DCE0549-25D7-498C-9B56-347354A5DEB9",27,100,0,1,12,5,10,0,5,38,23,198,10,22
"28",475,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","MINLEY BROOK",35084,1,"SU",81180,56540,"SU8118056540","GB106039017120",61,2.4,3.471,1,2.3,10,0,0,0,100,104,NA,NA,NA,"1995-01-01","1990-08-28","2004-09-23",13,FALSE,1,5719,"MINLEY BROOK","SU8118056540",385549,1,"",2004-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",380965,"2004-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,66,4.4,15,65.3,4.35,NA,NA,NA,NA,NA,NA,NA,10,35,3.5,NA,NA,NA,0.5,4.86,10.29,13,80,6.15,NA,NA,NA,NA,3,0,5,29,17.24,15,67.3,4.49,"No",2004,9,"31CC383E-B0F8-4868-B12B-ECF2B7DCC52C","TH-PLDR0145",0.23,0.222,2.3,0.008,0.00017,63.4,0.036,15.71,6.28,0.072,6.92,40.4,NA,"31CC383E-B0F8-4868-B12B-ECF2B7DCC52C",61,330,0,14,2,1,0,0,60,44,15,523,2,2
"29",483,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","TOWERSEY BROOK",35094,1,"SP",73815,6167,"SP7381506167","GB106039030200",76,3.3,1,1,1.6,16,0,0,0,100,267,NA,NA,NA,"1995-01-01","1990-08-20","2019-03-29",22,FALSE,1,5789,"TOWERSEY BROOK","SP7381506167",384557,1,"",2004-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",384797,"2004-12-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,44,3.38,14,44.6,3.19,NA,NA,NA,NA,NA,NA,NA,9,32,3.56,0.63,0.63,100,1.25,3.44,36.34,11,68,6.18,NA,NA,NA,NA,4,0,6,26,23.08,14,50.6,3.61,"No",2004,9,"F8F1D833-6A22-4F5F-B76F-A64CA8469301","TH-PTAR0113",0.69,0.602,1.6,0.0884,0.00218,47.3,0.399,15.29,4.73,0.21,7.58,NA,NA,"F8F1D833-6A22-4F5F-B76F-A64CA8469301",135,438,0,0,0,0,1,0,205,16,16,796,1,1
"30",490,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","BAUGHURST BROOK",35101,1,"SU",55643,63097,"SU5564363097","GB106039017200",70,0.9,7.3,1,2.9,16.67,9,28,16,48,123,NA,NA,NA,"1995-01-01","1990-08-23","2015-09-24",18,FALSE,1,5847,"BAUGHURST BROOK","SU5564363097",390229,1,"",2004-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",386473,"2005-01-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,134,5.15,28,143.2,5.11,NA,NA,NA,NA,NA,NA,NA,18,75,4.17,1.5,1.87,80.21,6.28,11.86,52.95,24,165,6.88,NA,NA,NA,NA,4,0,20,52,38.46,28,145.3,5.19,"No",2004,11,"72904ED7-99EE-443D-8A16-B041C59BE7D0","TH-PKER0005",2.50333333333333,2.403,1.63333333333333,0.0992333333333333,0.00535,62.3333333333333,0.109333333333333,16.3933333333333,6.10666666666667,0.278333333333333,7.73,9.06666666666667,0.193666666666667,"72904ED7-99EE-443D-8A16-B041C59BE7D0",120,74,0,31,9,0,58,2,665,1010,29,1976,8,69
"31",495,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","WORMINGHALL BROOK",35109,1,"SP",64684,8323,"SP6468408323","GB106039030340",58,5,5.7,1,2,31,0,27,13,60,238,NA,NA,NA,"1995-01-01","1990-07-30","2014-09-22",21,FALSE,1,5877,"WORMINGHALL BROOK","SP6468408323",387004,1,"",2004-11-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388735,"2005-02-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,60,4,18,75.8,4.21,NA,NA,NA,NA,NA,NA,NA,12,48,4,1.5,2.73,54.95,3.76,7.14,52.66,13,86,6.62,NA,NA,NA,NA,3,0,10,31,32.26,18,80.6,4.48,"No",2004,11,"CE2E3A7B-AF0B-4346-B332-C17AB65A011C","TH-PTAR0087",21.9333333333333,21.6666666666667,2.86666666666667,0.28,0.00716666666666667,61.8333333333333,5.43333333333333,15.12,6.24333333333333,0.460666666666667,7.79,NA,NA,"CE2E3A7B-AF0B-4346-B332-C17AB65A011C",64,34,0,20,1,0,1,0,573,185,20,881,2,2
"32",509,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","DENTON BROOK",35139,1,"SP",59518,2449,"SP5951802449","GB106039030240",62,11.1,1.21,1,0.7,6.67,2,35,18,45,234,NA,NA,NA,"1995-01-01","1990-06-04","2007-11-15",11,FALSE,1,5989,"DENTON BROOK","SP5951802449",383753,1,"",2004-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388381,"2005-01-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,80,4.44,24,122.3,5.1,1,2,2,1,3,3,6,16,74,4.63,2.13,3.97,53.65,4.25,9.11,46.65,17,117,6.88,1,8,8,1,5,20,19,44,43.18,24,121.8,5.08,"No",2004,9,"4908F7F9-6188-458D-96AA-B1C29B9E8C40","TH-PTAR0124",14.6666666666667,14.5666666666667,4.3,0.0904,0.00137,90.2666666666667,0.167,16.66,8.77,0.0493333333333333,8.28333333333333,NA,NA,"4908F7F9-6188-458D-96AA-B1C29B9E8C40",155,2776,108,22,26,0,24,0,114,50,24,3275,5,50
"33",515,"THAMES - WEST","THAMES","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","MILL BROOK",35159,1,"SU",56588,88439,"SU5658888439","GB106039023600",48,2,6.81,1,3.7,25,0,35,38,27,255,NA,NA,NA,"1995-01-01","1990-05-16","2015-03-18",23,FALSE,1,6035,"MILL BROOK","SU5658888439",387894,1,"",2004-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",388956,"2004-12-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,154,5.31,31,157.4,5.08,26,30,1.15,1,7,7,8.08,23,105,4.57,12.5,21.91,57.05,8.04,15.33,52.45,27,186,6.89,35,248,7.09,30,78,38.46,29,66,43.94,31,161.9,5.22,"No",2004,9,"E95682D5-A5AB-46A6-B463-ECA2B238E5FB","TH-PTHR0137",8.79333333333333,8.75,1.6,0.0426,0.00074,96.2666666666667,0.269,15.01,9.71,0.0366666666666667,7.88666666666667,NA,NA,"E95682D5-A5AB-46A6-B463-ECA2B238E5FB",63,1426,0,155,283,2,6,0,87,267,46,2319,11,289
"34",516,"THAMES - SOUTH EAST","THAMES","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","OCK(SURREY)",35162,1,"SU",96543,43651,"SU9654343651","GB106039017790",40,3.1,6.8,1,3.4,26.67,12,8,45,35,132,NA,NA,NA,"1995-01-01","1990-05-21","2020-10-27",20,FALSE,1,6046,"OCK(SURREY)","SU9654343651",384534,2,"",2004-09-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",380576,"2004-09-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,168,5.79,29,167,5.76,NA,NA,NA,NA,NA,NA,NA,21,102,4.86,1.5,1.5,100,9.02,13.89,64.94,27,195,7.22,NA,NA,NA,NA,3,0,27,51,52.94,29,167,5.76,"No",2004,9,"17565B3F-4ECC-401C-BDA3-A37E2B63EBEC","TH-PWER0128",3.745,3.705,1.2,0.0376,0.0007,94.5,0.058,14.32,9.65,0.06,7.64,7.9,0.055,"17565B3F-4ECC-401C-BDA3-A37E2B63EBEC",51,307,0,27,75,9,69,3,68,93,29,705,10,147
"35",522,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","DENTON BROOK",35213,1,"SP",60097,1368,"SP6009701368","GB106039030240",63,2,7.7,1,1,8,8,20,10,62,208,NA,NA,NA,"1995-01-01","1990-02-06","2004-09-14",13,FALSE,1,6114,"DENTON BROOK","SP6009701368",383749,1,"",2004-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",384819,"2004-12-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,42,4.2,13,60.1,4.62,NA,NA,NA,NA,NA,NA,NA,8,37,4.63,1.26,1.26,100,1.75,3.43,51.02,8,54,6.75,NA,NA,NA,NA,3,0,8,16,50,13,63.4,4.88,"No",2004,9,"4908F7F9-6188-458D-96AA-B1C29B9E8C40","TH-PTAR0100",15.4666666666667,15.3333333333333,5.66666666666667,0.128333333333333,0.0118633333333333,86.4333333333333,0.884666666666667,16.01,8.50333333333333,0.435333333333333,8.07,NA,NA,"4908F7F9-6188-458D-96AA-B1C29B9E8C40",19,686,0,0,1,0,8,0,1353,23,13,2090,2,9
