"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","Oxygen, Dissolved, % Saturation_%","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",240,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2022-04-07",55,FALSE,1,2548,"ASH (THAMES)","TQ0930067770",704529,1,"",2014-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",689711,"2014-12-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,111,4.83,27,131.3,4.86,29,53,1.83,7,5,7,12.79,22,101,4.59,11.87,21.42,55.42,5.5,11.35,48.46,23,153,6.65,35,242,6.91,25,70,35.71,18,46,39.13,27,129.1,4.78,"No",2014,10,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",4.73,0.0818,0.00157333333333333,7.48,0.121333333333333,18.2333333333333,0.0766666666666667,79.5666666666667,7.8,4.81,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",112,194,2,234,35,10,62,0,25,265,46,1036,9,97
"12",252,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2022-04-20",49,FALSE,1,2662,"RODING","TQ5030097400",699178,1,"",2014-09-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",686473,"2014-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,154,5.13,34,158.1,4.65,34,55,1.62,5,7,7,11.32,26,119,4.58,10,20.9,47.85,5.5,14.26,38.57,31,201,6.48,41,277,6.76,20,70,28.57,17,57,29.82,34,157.7,4.64,"No",2014,9,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",5.265,0.0274,0.000715,7.77,0.418,17.95,0.0315,82,7.815,5.29,NA,3,1.015,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",46,59,0,13,138,121,18,0,166,685,47,1263,11,156
"13",255,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","POOL",34037,1,"TQ",37151,72408,"TQ3715172408","GB106039023250",20,2.5,10.16,1,7.2,10.67,4,82,10,5,176,NA,NA,NA,"1995-01-01","1990-03-14","2014-09-02",35,FALSE,1,2715,"POOL","TQ3715172408",698673,1,"",2014-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",685374,"2014-10-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,57,4.07,15,62.8,4.19,10,14,1.4,3,3,3,4.2,12,56,4.67,6,9.3,64.52,3.77,6.44,58.54,12,82,6.83,15,106,7.07,12,33,36.36,13,30,43.33,15,65.1,4.34,"No",2014,9,"D7038591-7555-4D20-8079-4D0D5FF19CAC","TH-PRVR0035",2.11666666666667,0.0559,0.00218333333333333,9.09,0.357333333333333,17.3,0.07,94.8333333333333,8.11666666666667,2.17333333333333,NA,NA,NA,"D7038591-7555-4D20-8079-4D0D5FF19CAC",347,750,4,0,5,0,120,0,34,28,30,1288,3,125
"14",261,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2022-09-17",68,FALSE,1,2787,"VER","TL1422201418",705258,1,"",2014-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",686981,"2014-11-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,91,5.69,18,106.3,5.91,8,9,1.13,1,3,3,3.38,18,98,5.44,9.88,12.83,77.01,6.02,8.93,67.41,16,124,7.75,15,126,8.4,22,31,70.97,21,32,65.63,18,106.6,5.92,"No",2014,11,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",4.95,0.0148,0.00081,10.5,0.031,15.3,0.03,105.3,8.18,4.96,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",0,3000,0,96,94,0,43,0,50,61,21,3347,9,137
"15",272,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HORTON BROOK",34061,1,"TQ",1800,72400,"TQ0180072400","GB106039023000",16,1.8,14.25,1,3.6,31.67,6,29,10,55,157,NA,NA,NA,"1995-01-01","1990-03-08","2014-09-22",24,FALSE,1,2923,"HORTON BROOK","TQ0180072400",701541,1,"",2014-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",686480,"2014-11-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,78,4.88,17,78.1,4.59,14,22,1.57,5,3,5,7.86,14,65,4.64,2.5,7.15,34.97,1.49,6.1,24.43,15,99,6.6,18,121,6.72,5,32,15.63,6,29,20.69,17,80.5,4.74,"No",2014,9,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3","TH-PCNR0063",0.195,0.0053,0.00088,7.74,0.148,15.9,0.036,78.5,7.94,0.2,NA,3.415,NA,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3",121,92,0,9,1,1,60,0,80,22,20,390,2,61
"16",275,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","YEADING BROOK EAST",34071,1,"TQ",11309,84709,"TQ1130984709","GB106039023050",32,2.5,5.35,1,3.3,18.33,24,26,10,40,223,NA,NA,NA,"1995-01-01","1990-05-08","2014-11-11",21,FALSE,1,2949,"YEADING BROOK EAST","TQ1130984709",705516,1,"",2014-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690605,"2014-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,37,3.36,11,31.3,2.85,5,9,1.8,5,1,5,9,7,23,3.29,0.5,2.95,16.95,0.5,2.71,18.45,9,52,5.78,8,50,6.25,2,23,8.7,2,24,8.33,11,35.1,3.19,"No",2014,11,"9F26BA47-464B-4BB3-B1F3-81A69FA2A2E2","TH-PCRR0063",0.192,0.138,0.068,3.37,1.17,18.8,3.22,36.3,7.78,0.33,NA,NA,NA,"9F26BA47-464B-4BB3-B1F3-81A69FA2A2E2",430,58,44,0,0,0,0,0,250,18,13,800,0,0
"17",279,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34081,1,"TL",18163,3619,"TL1816303619","GB106039029820",68,1,7.27,1,3.7,22.67,6,57,17,20,207,NA,NA,NA,"1995-01-01","1982-08-31","2019-05-07",51,FALSE,1,3012,"COLNE","TL1816303619",705271,1,"",2014-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690337,"2014-12-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,94,4.48,28,117.3,4.19,20,32,1.6,5,3,5,8,23,97,4.22,4.5,16.01,28.11,4.5,11.53,39.03,21,125,5.95,27,164,6.07,9,68,13.24,16,58,27.59,28,123,4.39,"No",2014,11,"243814DD-38DB-49EA-B1A8-0CE0BB58D768","TH-PCNR0189",NA,NA,NA,NA,NA,NA,NA,NA,7.96,NA,NA,6.52,NA,"243814DD-38DB-49EA-B1A8-0CE0BB58D768",1122,830,6,34,102,0,240,0,50,752,44,3140,9,342
"18",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,2,3529,"MIMRAM","TL2075418006",705701,1,"",2014-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",697904,"2015-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,124,6.2,23,138.8,6.03,14,19,1.36,5,5,5,6.79,16,95,5.94,18.28,22.07,82.83,13.84,16.99,81.46,19,162,8.53,20,171,8.55,42,57,73.68,39,54,72.22,23,135.6,5.9,"No",2014,11,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",7.385,0.0222,0.000295,10.335,0.116,14.2,0.03,101.05,7.59,7.405,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",111,700,0,161,459,0,230,0,163,60,26,1884,12,689
"19",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,2,3532,"MIMRAM","TL2075418006",721969,1,"",2014-11-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",711228,"2014-11-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,130,5.91,26,151.3,5.82,24,44,1.83,5,5,5,9.17,21,119,5.67,16.4,21.67,75.68,10.07,12.75,78.98,21,165,7.86,27,213,7.89,39,64,60.94,32,50,64,26,152.3,5.86,"No",2014,11,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",7.385,0.0222,0.000295,10.335,0.116,14.2,0.03,101.05,7.59,7.405,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",258,601,2,64,186,0,146,0,262,49,41,1574,15,332
"20",324,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","QUAGGY",34216,1,"TQ",39400,74800,"TQ3940074800","GB106039023290",15,2,15.97,1,4,12.5,20,55,10,15,199,NA,NA,NA,"2012-01-01","1985-02-04","2019-10-08",34,FALSE,1,3827,"QUAGGY","TQ3940074800",698667,1,"",2014-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",694461,"2015-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,58,4.14,17,68.9,4.05,12,13,1.08,1,3,3,3.25,14,71,5.07,4.5,9.87,45.59,2.51,5.93,42.33,14,91,6.5,16,106,6.63,9,38,23.68,10,33,30.3,17,70.2,4.13,"No",2014,9,"8F3A4A03-4A15-4694-A615-8F0B02B72A65","TH-PRVR0019",3.34666666666667,0.0560333333333333,0.00182666666666667,9.05666666666667,0.504333333333333,15.6,0.0653333333333333,91.1333333333333,8.21666666666667,3.40333333333333,NA,3.12333333333333,NA,"8F3A4A03-4A15-4694-A615-8F0B02B72A65",94,158,3,0,4,0,18,0,17,112,21,406,3,22
"21",336,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2021-11-11",37,FALSE,1,3972,"CRANE","TQ1116574665",705519,1,"",2014-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690604,"2014-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,103,4.68,29,134.8,4.65,30,53,1.77,5,5,5,8.83,23,114,4.96,13.27,25.15,52.76,5.53,11.15,49.6,24,152,6.33,38,249,6.55,32,84,38.1,20,54,37.04,29,140.9,4.86,"No",2014,11,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",2.32,0.043,0.00057,6.22,0.193,17.7,0.03,65.5,7.77,2.36,NA,NA,2.29,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",89,1009,0,0,59,0,34,0,209,1002,49,2402,18,93
"22",345,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",34277,1,"TQ",27885,66886,"TQ2788566886","GB106039023460",24,3,16.5,3,12.2,19.33,8,45,33,13,240,NA,NA,NA,"1995-01-01","1985-02-26","2021-10-15",55,FALSE,1,4088,"WANDLE","TQ2788566886",698676,1,"",2014-09-01,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",694462,"2015-01-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,111,4.63,27,123.2,4.56,21,25,1.19,3,5,5,5.95,19,97,5.11,10.76,16.76,64.2,9.07,12.76,71.08,24,170,7.08,26,190,7.31,28,60,46.67,28,55,50.91,27,128.9,4.77,"No",2014,9,"78A44CB7-DF2D-492F-B06B-C703437C0EBD","TH-PWAR0053",6.33,0.02775,0.0015,9.885,0.053,13.75,0.0635,95.7,7.98,6.36,NA,5.23,1.52,"78A44CB7-DF2D-492F-B06B-C703437C0EBD",198,1178,7,2,720,0,58,0,181,201,34,2546,8,778
"23",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4229,"MISBOURNE","TQ0130088350",705260,1,"",2014-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",690817,"2015-01-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",33,197,5.97,37,219.4,5.93,24,40,1.67,5,7,7,11.67,30,154,5.13,16.01,21.54,74.33,11.32,16.68,67.87,33,238,7.21,31,237,7.65,38,72,52.78,37,68,54.41,37,215.8,5.83,"No",2014,11,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",3.52,0.0152,0.00035,10.2,0.021,15.5,0.03,103,7.63,3.54,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",58,796,3,97,400,2,259,0,49,1055,51,2739,22,659
"24",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,1,4596,"GADE","TL0412810065",701759,1,"",2014-09-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",684479,"2014-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,69,4.93,17,98.5,5.79,11,18,1.64,5,3,5,8.18,15,88,5.87,12.64,13.37,94.54,8.05,8.54,94.26,13,108,8.31,14,117,8.36,26,34,76.47,26,34,76.47,17,96.8,5.69,"No",2014,9,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",5.51666666666667,0.0525333333333333,0.00045,10.4266666666667,0.0286666666666667,15.6666666666667,0.0416666666666667,105.033333333333,7.59,5.56666666666667,NA,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",39,990,0,20,169,0,82,0,58,8,20,1367,7,251
"25",374,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2022-04-06",55,FALSE,1,4742,"WANDLE (CARSHALTON ARM)","TQ2819565255",702946,2,"",2014-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",725232,"2015-01-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,94,4.48,23,101.6,4.42,18,23,1.28,1,3,3,3.83,17,77,4.53,7.38,13.51,54.63,4.29,8.66,49.54,21,140,6.67,21,144,6.86,17,50,34,20,46,43.48,23,105.3,4.58,"No",2014,10,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",6.88,0.0197,0.00051,10.6,0.02,13.5,0.044,101.9,7.69,6.9,NA,NA,NA,"529480E3-2130-43C7-A5CD-B00A4CE31C06",120,721,0,7,113,0,8,0,42,267,39,1363,8,121
"26",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,2,4871,"MIMRAM","TL2788613403",705706,1,"",2014-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",697906,"2015-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,138,5.75,28,160.1,5.72,21,29,1.38,5,5,5,6.9,19,104,5.47,17.02,23.15,73.52,12.34,17.22,71.66,26,196,7.54,27,204,7.56,38,68,55.88,39,64,60.94,28,157.4,5.62,"No",2014,11,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",6.11,0.0193,0.00059,11.6,0.059,15.3,0.03,116.5,7.86,6.13,NA,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",61,1604,0,75,340,0,310,1,111,353,37,2857,15,651
"27",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,2,4873,"MIMRAM","TL2788613403",722053,1,"",2014-11-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",711241,"2014-11-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,154,5.92,33,189.6,5.75,31,61,1.97,5,7,7,13.77,25,137,5.48,22.03,26.93,81.8,11.79,16.15,73,29,216,7.45,37,291,7.86,47,70,67.14,37,59,62.71,33,187.8,5.69,"No",2014,11,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",6.11,0.0193,0.00059,11.6,0.059,15.3,0.03,116.5,7.86,6.13,NA,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",55,707,2,4,189,0,225,25,101,219,47,1529,19,439
"28",387,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","QUIN",34348,1,"TL",39165,24801,"TL3916524801","GB106038040120",68,2.2,13.9,1,3.8,11,15,75,8,2,268,NA,NA,NA,"1995-01-01","1983-08-09","2021-11-10",41,FALSE,1,5007,"QUIN","TL3916524801",701381,1,"",2014-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",683866,"2014-09-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,80,5,17,92.2,5.42,9,9,1,1,3,3,3,12,64,5.33,9.38,11.21,83.68,7.76,9.69,80.08,15,115,7.67,14,112,8,22,30,73.33,23,32,71.88,17,89.7,5.28,"No",2014,9,"A0CFA4B5-08E1-4829-A318-29513651F8CE","TH-PLER0118",10.6333333333333,0.0265666666666667,0.00035,10.89,0.0943333333333333,12.3333333333333,0.0306666666666667,102,7.71,10.6333333333333,NA,NA,NA,"A0CFA4B5-08E1-4829-A318-29513651F8CE",10,630,0,11,8,0,97,3,124,65,21,952,5,108
"29",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5053,"RODING","TL5610404058",702453,2,"",2014-09-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",728185,"2014-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,86,5.06,21,100.9,4.8,14,31,2.21,5,3,5,11.07,18,86,4.78,4.5,8.18,55.01,2.51,6.66,37.69,17,120,7.06,17,120,7.06,9,30,30,16,36,44.44,21,102.3,4.87,"No",2014,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",3.86,0.0155,0.00069,8.58,0.187,15.4,0.034,86,7.87,3.88,NA,NA,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",15,301,0,0,4,18,5,0,41,22,24,411,5,9
