"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrate as N_mg/l","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrogen, Total Oxidised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",310,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STORT",34172,1,"TL",41700,11300,"TL4170011300","GB106038033282",35,1.1,41.92,2,7.9,26.67,3,65,11,21,259,NA,NA,NA,"1995-01-01","1984-03-13","2022-03-02",55,FALSE,1,3564,"STORT","TL4170011300",600052,1,"",2009-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",595339,"2010-01-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,79,4.65,19,87.1,4.58,15,23,1.53,3,3,3,4.6,13,61,4.69,4,9.87,40.53,1.75,5.87,29.81,16,108,6.75,18,122,6.78,7,34,20.59,8,31,25.81,19,91.7,4.83,"No",2009,10,"F6F44310-FB15-4495-B3DE-29390061A762","TH-PLER0257",1.175,16.3,0.06,7.975,6.725,0.03445,0.001535,79,6.76,7.735,NA,NA,NA,"F6F44310-FB15-4495-B3DE-29390061A762",105,110,4,2,9,1,0,0,63,84,23,378,3,9
"12",315,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (NAV.SUB F)",34188,1,"TL",38120,12030,"TL3812012030","GB106038033240",30,0.6,52.4,3,20.7,150,2,32,23,43,248,NA,NA,NA,"1995-01-01","1975-01-30","2009-11-11",24,FALSE,1,3629,"LEE (NAV.SUB F)","TL3812012030",601303,1,"",2009-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",594141,"2009-11-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,57,4.38,14,57.6,4.11,NA,NA,NA,NA,NA,NA,NA,8,34,4.25,NA,NA,NA,NA,3.64,0,12,73,6.08,NA,NA,NA,NA,3,0,5,30,16.67,14,59,4.21,"No",2009,11,"597D5619-CB2C-44FF-9D16-5797A29D539E","TH-PLER0632",NA,15.805,NA,7.625,NA,NA,NA,84.2,1.52,8.32,NA,NA,NA,"597D5619-CB2C-44FF-9D16-5797A29D539E",22,102,0,0,5,0,10,0,60,142,14,341,3,15
"13",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3776,"RIB","TL3315413930",600689,1,"",2009-11-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",592888,"2009-12-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,102,6.38,18,101.6,5.64,12,16,1.33,1,5,5,6.67,13,73,5.62,4.76,7.09,67.14,2.77,4.48,61.83,15,106,7.07,15,109,7.27,9,23,39.13,12,24,50,18,105,5.83,"No",2009,11,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.266,16.32,0.03,7.92,5.25,0.0088,0.000715,85,5.26,8.315,8.6,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",54,3,0,7,13,2,25,0,31,10,21,145,9,38
"14",345,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",34277,1,"TQ",27885,66886,"TQ2788566886","GB106039023460",24,3,16.5,3,12.2,19.33,8,45,33,13,240,NA,NA,NA,"1995-01-01","1985-02-26","2021-10-15",55,FALSE,1,4082,"WANDLE","TQ2788566886",601252,1,"",2009-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",595667,"2010-01-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,101,4.59,28,115.7,4.13,31,48,1.55,7,5,7,10.84,19,82,4.32,8.88,20.51,43.3,5.05,9.49,53.21,22,138,6.27,33,209,6.33,19,78,24.36,20,58,34.48,28,127,4.54,"No",2009,11,"78A44CB7-DF2D-492F-B06B-C703437C0EBD","TH-PWAR0053",0.0525,13.9525,0.0555,7.865,5.305,0.0388,0.0010175,92.4,5.345,9.505,3.275,1.9,NA,"78A44CB7-DF2D-492F-B06B-C703437C0EBD",147,827,58,0,199,0,9,0,22,658,47,1950,10,208
"15",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,2,4213,"MISBOURNE","TQ0130088350",597059,1,"",2009-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",589744,"2009-10-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,130,5.42,26,141.6,5.45,23,43,1.87,5,5,5,9.35,22,102,4.64,13.88,16.21,85.63,8.78,11.74,74.79,22,169,7.68,23,182,7.91,30,51,58.82,29,53,54.72,26,142.6,5.48,"No",2009,9,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.038,14.27,0.056,7.8,4.57,0.0306,0.00089,97.4,4.6,9.95,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",46,1004,2,32,190,0,66,0,172,8,32,1529,10,256
"16",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,2,4214,"MISBOURNE","TQ0130088350",601563,1,"",2009-11-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",590893,"2009-11-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,131,5.7,25,148,5.92,17,24,1.41,5,5,5,7.06,22,108,4.91,13.4,17.2,77.91,9.04,11.74,77,23,173,7.52,19,149,7.84,23,43,53.49,29,51,56.86,25,146.5,5.86,"No",2009,11,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.038,14.27,0.056,7.8,4.57,0.0306,0.00089,97.4,4.6,9.95,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",150,310,0,21,58,0,197,0,74,22,28,843,12,255
"17",358,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2022-10-13",53,FALSE,1,4399,"BULBOURNE","TL0265406341",599325,1,"",2009-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",589475,"2009-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,59,4.92,14,70.1,5.01,NA,NA,NA,NA,NA,NA,NA,9,37,4.11,1,1,100,3.75,4.95,75.76,10,75,7.5,NA,NA,NA,NA,3,0,13,23,56.52,14,71.8,5.13,"No",2009,10,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",1.43,16.35,0.143,7.7,8.46,0.132,0.00211,87.9,8.59,8.59,NA,NA,NA,"D663FC0F-45DD-4985-9A6B-41B54349080A",30,110,0,1,25,0,6,0,27,50,17,253,5,31
"18",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,1,4581,"GADE","TL0412810065",601187,1,"",2009-11-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",590579,"2009-11-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,99,4.95,26,129.1,4.97,22,32,1.45,5,3,5,7.27,19,100,5.26,12.52,16.93,73.95,8.06,10.76,74.91,21,149,7.1,25,180,7.2,26,57,45.61,26,50,52,26,133.5,5.13,"No",2009,11,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",0.02,17.07,0.032,7.81,5.09,0.0584,0.00064,139.5,5.15,13.4,6.6,1.4,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",102,453,4,20,225,0,107,0,205,36,37,1167,10,332
"19",374,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2022-04-06",55,FALSE,1,4732,"WANDLE (CARSHALTON ARM)","TQ2819565255",601251,1,"",2009-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",594285,"2010-01-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,100,4.76,21,89.6,4.27,20,24,1.2,1,3,3,3.6,12,54,4.5,5.5,12.49,44.04,4.8,9.17,52.34,19,125,6.58,23,151,6.57,14,51,27.45,16,42,38.1,21,96.7,4.6,"No",2009,11,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",0.02,12.8,0.0385,7.795,6.135,0.02725,0.000565,93.25,6.165,9.82,3.2,NA,NA,"529480E3-2130-43C7-A5CD-B00A4CE31C06",262,106,0,6,129,0,2,0,150,242,31,899,7,131
"20",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,1,4856,"MIMRAM","TL2788613403",599488,1,"",2009-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",595108,"2010-01-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,138,6,24,135.9,5.66,26,44,1.69,5,5,5,8.46,17,87,5.12,14.76,17.69,83.44,5.27,8.19,64.35,22,155,7.05,31,228,7.35,32,47,68.09,20,31,64.52,24,138.4,5.77,"No",2009,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.049,14.7366666666667,0.03,7.80666666666667,5.05666666666667,0.0178666666666667,0.0005,107.433333333333,5.07666666666667,10.9,3.66666666666667,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",7,84,0,8,59,1,21,0,86,29,36,308,17,80
"21",394,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2022-05-10",81,FALSE,1,5129,"ASH (LEE)","TL4242016910",597444,1,"",2009-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",588296,"2009-09-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,126,5.48,25,132.4,5.3,22,37,1.68,5,5,5,8.41,19,87,4.58,10.13,14.3,70.84,6.51,10.16,64.07,22,161,7.32,26,196,7.54,24,46,52.17,21,42,50,25,132.4,5.3,"No",2009,9,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",0.0236666666666667,13.65,0.0333333333333333,7.76333333333333,5.90666666666667,0.0300666666666667,0.000473333333333333,102,5.93666666666667,10.56,3.66666666666667,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",102,13,0,37,8,0,90,8,538,16,32,817,8,106
"22",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5186,"ASH (LEE)","TL3770013300",597435,1,"",2009-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",589228,"2009-09-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,120,6,22,140.3,6.38,18,21,1.17,1,5,5,5.83,16,86,5.38,16.51,19.2,85.99,9.77,11.71,83.43,19,148,7.79,22,174,7.91,29,47,61.7,27,37,72.97,22,138.6,6.3,"No",2009,9,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",0.365666666666667,14.6033333333333,0.042,7.84666666666667,5.87,0.0326666666666667,0.000786666666666667,97,5.90333333333333,9.85666666666667,3.86666666666667,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",26,52,0,76,167,0,59,16,39,27,29,462,11,242
"23",402,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","DUN (KENNET)",34379,1,"SU",33292,68770,"SU3329268770","GB106039017390",97,1.6,12.3,3,5.5,53.33,7,72,13,8,235,NA,NA,NA,"1995-01-01","1990-05-03","2016-10-19",35,FALSE,1,5294,"DUN (KENNET)","SU3329268770",619609,1,"",2009-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",610338,"2009-10-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,147,5.88,30,170.1,5.67,25,59,2.36,5,5,5,11.8,20,101,5.05,18.88,21.95,86.01,7.55,11.45,65.94,26,188,7.23,34,265,7.79,47,65,72.31,29,49,59.18,30,170.7,5.69,"No",2009,10,"9EB57FA5-2B87-482D-92BF-332D42ACE4AB","TH-PKER0205",0.02,18.9475,0.03825,7.965,2.06,0.033675,0.001085,100.8,2.095,9.35,NA,NA,NA,"9EB57FA5-2B87-482D-92BF-332D42ACE4AB",706,223,8,28,302,0,160,0,19,88,52,1567,25,462
"24",480,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","WENDOVER BROOK",35091,1,"SP",86092,12623,"SP8609212623","GB106039030380",88,2.4,5.9,1,1.8,12.33,2,60,27,12,251,NA,NA,NA,"1995-01-01","1990-08-16","2016-09-23",19,FALSE,1,5761,"WENDOVER BROOK","SP8609212623",601200,1,"",2009-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",591962,"2009-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,62,4.13,16,74.7,4.67,6,6,1,1,3,3,3,12,54,4.5,8,11.55,69.26,6.03,8.69,69.39,14,106,7.57,12,88,7.33,14,33,42.42,21,38,55.26,16,72.2,4.51,"No",2009,11,"265C3262-46EA-4082-BE6E-B074BD6A9FAC","TH-PTAR0038",0.0416666666666667,15.77,0.0453333333333333,8.22333333333333,1.64,0.0192,0.00124666666666667,97.5,1.66,9.66333333333333,NA,NA,NA,"265C3262-46EA-4082-BE6E-B074BD6A9FAC",22,3002,0,223,106,0,10,0,112,213,20,3689,3,116
"25",482,"THAMES - WEST","THAMES","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","STOCKLAKE BROOK",35093,1,"SP",82772,14042,"SP8277214042","GB106039030380",85,2,2.41,1,3.7,39.33,0,1,2,97,209,NA,NA,NA,"1995-01-01","1990-08-20","2016-09-23",19,FALSE,1,5781,"STOCKLAKE BROOK","SP8277214042",601191,1,"",2009-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",593267,"2009-12-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,73,3.84,22,73.3,3.33,18,41,2.28,15,3,15,34.17,16,60,3.75,1,8.35,11.98,1.25,8.82,14.17,19,104,5.47,21,117,5.57,1,54,1.85,4,46,8.7,22,81.7,3.71,"No",2009,11,"C0405CE4-1E69-4843-B72A-57805844D609","TH-PTAR0120",0.266,15.2866666666667,0.291,7.4,0.608,0.0237,0.00168333333333333,41.1666666666667,0.63,4.15333333333333,16.85,NA,NA,"C0405CE4-1E69-4843-B72A-57805844D609",93,1118,63,25,0,1,2,0,534,1990,31,3829,1,2
"26",544,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","SULHAM BROOK",35261,1,"SU",64233,74102,"SU6423374102","GB106039023280",43,1.2,2.3,1,12.2,19,0,3,3,93,242,NA,NA,NA,"1995-01-01","1990-04-25","2023-03-20",44,FALSE,1,6287,"SULHAM BROOK","SU6423374102",596917,1,"",2009-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",593060,"2009-12-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,38,3.45,12,42.8,3.57,7,16,2.29,5,1,5,11.43,8,24,3,0.5,5.39,9.28,0.75,5.58,13.44,9,49,5.44,10,57,5.7,1,25,4,1,24,4.17,12,47.5,3.96,"No",2009,9,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2","TH-PPSR0006",0.034,13.895,0.1,7.5725,1.00125,0.02265,0.0009675,72.85,1.025,7.5675,NA,NA,NA,"CB070AC1-950E-4F0B-9234-2C40B7D91DC2",222,103,0,11,0,0,0,0,10001,3018,18,13362,0,0
"27",571,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","BOW BROOK",35360,1,"SU",67709,58378,"SU6770958378","GB106039017140",53,1.5,12.46,2,5.1,22.67,5,42,13,40,196,NA,NA,NA,"1995-01-01","1995-05-22","2014-09-16",20,FALSE,1,6549,"BOW BROOK","SU6770958378",600423,1,"",2009-11-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",593747,"2010-01-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,112,5.6,21,126.5,6.02,16,23,1.44,5,5,5,7.19,17,98,5.76,16.27,22.15,73.45,11.78,16.62,70.88,19,147,7.74,21,171,8.14,30,52,57.69,31,48,64.58,21,123.8,5.9,"No",2009,11,"FDA5D022-8D18-4391-99A9-758FBE87D914","TH-PLDR0055",0.2385,16.5575,0.044,7.9425,6.1825,0.03515,0.0011175,85.925,6.215,8.36,11.1,NA,NA,"FDA5D022-8D18-4391-99A9-758FBE87D914",100,100,0,210,273,0,100,0,145,450,28,1378,11,373
"28",603,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","DIKLER",35478,1,"SP",18023,19756,"SP1802319756","GB106039030470",124,2.9,10.27,2,6.8,30,10,43,33,13,180,NA,NA,NA,"1995-01-01","1989-10-31","2020-09-23",38,FALSE,1,6967,"DIKLER","SP1802319756",601864,1,"",2009-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",591882,"2009-11-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",35,202,5.77,38,218.8,5.76,21,29,1.38,5,10,10,13.81,27,141,5.22,13.25,19.37,68.4,10.78,15.19,70.97,34,246,7.24,29,211,7.28,29,62,46.77,38,69,55.07,38,227.1,5.98,"No",2009,11,"39864231-E9B9-48F7-8525-915DC0F36E3D","TH-PWRR0005",0.189666666666667,15.81,0.03,8.17,6.46333333333333,0.0241666666666667,0.000836666666666667,96.1,6.48666666666667,9.45333333333333,5.83333333333333,NA,NA,"39864231-E9B9-48F7-8525-915DC0F36E3D",320,2009,4,380,87,0,75,0,1024,215,47,4131,18,162
"29",611,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2023-03-20",64,FALSE,1,7082,"KENNET","SU2273169574",597595,1,"",2009-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",594903,"2010-01-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,84,5.25,17,97,5.71,12,21,1.75,5,3,5,8.75,11,72,6.55,12.26,12.86,95.33,8.31,9.08,91.52,15,121,8.07,16,127,7.94,34,44,77.27,28,38,73.68,17,94,5.53,"No",2009,9,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",0.0656666666666667,12.47,0.0476666666666667,7.91,7.04333333333333,0.0488666666666667,0.00086,104.433333333333,7.09333333333333,11.1333333333333,3.53333333333333,NA,NA,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",51,1324,23,173,280,0,308,0,52,9,25,2221,11,588
"30",613,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","WINDRUSH",35507,1,"SP",17863,17640,"SP1786317640","GB106039030440",120,1.7,20.58,4,7,38.33,5,67,23,5,178,NA,NA,NA,"1995-01-01","1989-10-31","2020-09-23",40,FALSE,1,7144,"WINDRUSH","SP1786317640",601890,1,"",2009-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",593751,"2010-01-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,166,5.53,34,205.3,6.04,9,12,1.33,3,7,7,9.33,26,133,5.12,7.63,11.18,68.25,14.54,19.67,73.92,31,230,7.42,15,117,7.8,14,31,45.16,41,75,54.67,34,198.4,5.84,"No",2009,11,"06E1CD36-3E04-41C9-AA40-8751C2CDC930","TH-PWRR0023",0.0585,14.945,0.03,8.34,6.96,0.0121,0.00079,91.45,6.97,9.16,6.55,NA,NA,"06E1CD36-3E04-41C9-AA40-8751C2CDC930",207,3001,41,805,1030,0,293,1,178,55,36,5611,13,1324
