"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","pH_phunits","Oxygen, Dissolved, % Saturation_%","Orthophosphate, reactive as P_mg/l","Oxygen, Dissolved as O2_mg/l","Ammonia un-ionised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrite as N_mg/l","Nitrate as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Temperature of Water_cel","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",388,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","ALDERBOURNE",34038,1,"TQ",4157,83566,"TQ0415783566","GB106039023080",30,1.7,6.68,1,4.2,24.33,5,59,18,18,199.2,NA,NA,NA,"1995-01-01","1990-03-20","2020-10-07",39,FALSE,1,3766,"ALDERBOURNE","TQ0415783566",746383,1,"",2016-09-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738925,"2016-09-29","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,103,5.42,20,109.2,5.46,15,26,1.73,3,5,5,8.67,17,95,5.59,11.38,14.82,76.79,6.52,10.39,62.75,17,128,7.53,17,133,7.82,20,37,54.05,25,41,60.98,20,108.4,5.42,"No",2016,9,"64611936-C05E-4170-AC54-C80E00D83ACA","TH-PCNR0001",7.92,89.1,0.041,9.06,0.00068,0.032,0.0254,3.7,3.73,14.5,NA,NA,NA,NA,"64611936-C05E-4170-AC54-C80E00D83ACA",44,522,0,0,32,0,41,0,102,297,31,1043,11,73
"12",393,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2021-04-22",65,FALSE,1,3830,"VER","TL1422201418",746451,1,"",2016-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738713,"2017-01-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,107,5.94,22,140.3,6.38,17,35,2.06,5,5,5,10.29,22,124,5.64,17.38,19.59,88.72,8.77,12.16,72.12,18,143,7.94,23,190,8.26,43,57,75.44,30,40,75,22,134.8,6.13,"No",2016,9,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",8.04,106.3,0.04,9.86,0.00104,0.03,0.02,4.4,4.42,18.9,NA,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",5,4418,0,922,149,2,138,0,222,223,38,6079,17,287
"13",402,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","TYKESWATER",34056,1,"TL",15600,1500,"TL1560001500","GB106039023100",65,2.2,10.47,1,3.7,26,9,68,11,12,148,NA,NA,NA,"1995-01-01","1990-03-01","2019-11-29",25,FALSE,1,3932,"TYKESWATER","TL1560001500",744884,1,"",2016-09-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738927,"2016-09-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,80,4.71,20,100.3,5.02,11,13,1.18,1,3,3,3.55,17,72,4.24,6.5,9.81,66.26,2.26,6.6,34.24,15,96,6.4,15,110,7.33,11,31,35.48,11,34,32.35,20,99.2,4.96,"No",2016,9,"D3AD0B88-3198-4F79-9D66-3BEB56272118","TH-PCNR0086",8.095,90.3,2.38,8.78,0.001275,0.0405,0.0157,5.48,5.495,16.45,NA,NA,NA,NA,"D3AD0B88-3198-4F79-9D66-3BEB56272118",23,18,0,26,29,0,1,0,32,611,29,740,5,30
"14",411,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34081,1,"TL",18163,3619,"TL1816303619","GB106039029820",68,1,7.27,1,3.7,22.67,6,57,17,20,207,NA,NA,NA,"1995-01-01","1982-08-31","2019-05-07",51,FALSE,1,4045,"COLNE","TL1816303619",748364,1,"",2016-10-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739022,"2017-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,118,4.72,29,118.4,4.08,23,35,1.52,5,5,5,7.61,24,97,4.04,4,15.75,25.4,2.75,10.28,26.75,25,153,6.12,28,172,6.14,6,62,9.68,11,52,21.15,29,124.4,4.29,"No",2016,10,"243814DD-38DB-49EA-B1A8-0CE0BB58D768","TH-PCNR0189",7.93,94.9,0.067,8.34,0.00177,0.049,0.0214,0.709,0.73,21.6,NA,NA,NA,NA,"243814DD-38DB-49EA-B1A8-0CE0BB58D768",181,390,0,14,11,3,275,0,493,249,51,1622,9,286
"15",437,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STANSTED BROOK",34162,1,"TL",50500,24000,"TL5050024000","GB106038040090",64,5,8.21,1,3.3,10,21,67,9,3,244,NA,NA,NA,"1995-01-01","1979-10-08","2019-10-10",45,FALSE,1,4443,"STANSTED BROOK","TL5050024000",749272,1,"",2016-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739012,"2017-02-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",7,34,4.86,9,40.4,4.49,3,4,1.33,1,1,1,1.33,6,29,4.83,1.5,2.24,66.96,NA,0.73,0,6,41,6.83,5,38,7.6,3,9,33.33,5,13,38.46,9,40.8,4.53,"No",2016,11,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD","TH-PLER0137",8.14,95.2,0.078,8.86,0.00103,0.03,0.0102,5.48,5.49,18.7,NA,NA,NA,NA,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD",40,22,0,0,4,0,0,0,27,1,11,94,3,4
"16",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4539,"MIMRAM","TL2075418006",751869,1,"",2016-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739471,"2017-02-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,139,5.56,33,192.6,5.84,21,35,1.67,5,5,5,8.33,30,155,5.17,18.03,23.18,77.78,11.84,15.26,77.59,25,192,7.68,27,214,7.93,46,69,66.67,34,57,59.65,33,187.3,5.68,"No",2016,11,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",7.93,99.85,0.151,10.075,0.000675,0.0305,0.023,6.685,6.705,14.8,NA,NA,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",242,643,2,515,226,0,541,0,51,51,49,2290,20,767
"17",448,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","GT HALLINGBURY BROOK",34190,1,"TL",49800,19100,"TL4980019100","GB106038033330",55,2.9,6.4,1,3.3,27.67,3,46,23,28,261,NA,NA,NA,"1995-01-01","1981-07-20","2020-10-20",31,FALSE,1,4639,"GT HALLINGBURY BROOK","TL4980019100",749096,1,"",2016-11-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738723,"2016-11-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,75,4.69,18,83.1,4.62,10,12,1.2,1,3,3,3.6,16,70,4.38,6.76,10.69,63.24,4.26,6.92,61.56,15,104,6.93,16,112,7,14,34,41.18,15,34,44.12,18,84.7,4.71,"No",2016,11,"ED5A4422-733B-44FB-865C-8E254B487A79","TH-PLER0039",7.73,89.8,0.333,8.62,0.00087,0.052,0.0171,19.2,19.2,17.2,NA,NA,NA,NA,"ED5A4422-733B-44FB-865C-8E254B487A79",15,42,0,90,67,0,3,0,40,71,27,329,7,70
"18",456,"THAMES - SOUTH EAST","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","QUAGGY",34216,1,"TQ",39400,74800,"TQ3940074800","GB106039023290",15,2,15.97,1,4,12.5,20,55,10,15,199,NA,NA,NA,"2012-01-01","1985-02-04","2019-10-08",34,FALSE,1,4822,"QUAGGY","TQ3940074800",747200,1,"",2016-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",736581,"2016-12-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,94,4.48,26,103.3,3.97,21,32,1.52,3,3,3,4.57,19,83,4.37,5.51,13.21,41.71,3.76,9.17,41,22,130,5.91,25,153,6.12,10,64,15.63,13,51,25.49,26,111.6,4.29,"No",2016,10,"8F3A4A03-4A15-4694-A615-8F0B02B72A65","TH-PRVR0019",7.875,61.75,0.437,5.915,0.001095,0.0485,0.02605,3.31,3.335,17.55,NA,NA,NA,NA,"8F3A4A03-4A15-4694-A615-8F0B02B72A65",192,440,278,2,263,0,30,0,23,443,39,1677,6,293
"19",477,"THAMES - SOUTH EAST","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",34277,1,"TQ",27885,66886,"TQ2788566886","GB106039023460",24,3,16.5,3,12.2,19.33,8,45,33,13,240,NA,NA,NA,"1995-01-01","1985-02-26","2020-10-06",53,FALSE,1,5075,"WANDLE","TQ2788566886",746967,1,"",2016-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738819,"2017-02-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,99,4.3,27,117.7,4.36,21,26,1.24,1,3,3,3.71,20,92,4.6,13.14,18.54,70.87,7.28,10.73,67.85,24,163,6.79,24,166,6.92,24,63,38.1,23,53,43.4,27,119.4,4.42,"No",2016,10,"78A44CB7-DF2D-492F-B06B-C703437C0EBD","TH-PWAR0053",7.89,96.1,0.054,9.75,0.00078,0.039,0.0246,6.56,6.58,14.6,NA,NA,NA,NA,"78A44CB7-DF2D-492F-B06B-C703437C0EBD",308,291,170,0,34,0,100,0,615,168,38,1690,8,134
"20",483,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2020-10-13",83,FALSE,1,5209,"MISBOURNE","TQ0130088350",751791,1,"",2016-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739020,"2016-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,156,5.78,30,184.6,6.15,23,48,2.09,5,7,7,14.61,25,141,5.64,14.88,19.17,77.62,8.78,12.19,72.03,26,198,7.62,27,215,7.96,31,51,60.78,31,50,62,30,182.9,6.1,"No",2016,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",7.79,97.9,0.018,9.93,0.00048,0.03,0.0198,3.87,3.89,14.6,NA,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",43,1501,6,46,56,0,65,4,37,87,36,1846,15,125
"21",486,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","PINN",34297,1,"TQ",5809,80966,"TQ0580980966","GB106039023070",30,1.3,19.27,1,4.1,28.33,3,65,13,18,178,NA,NA,NA,"1995-01-01","1982-12-03","2019-11-15",32,FALSE,1,5295,"PINN","TQ0580980966",746375,1,"",2016-09-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738725,"2017-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,114,5.43,21,109.9,5.23,17,20,1.18,1,5,5,5.88,14,73,5.21,8,14.85,53.87,4.02,8.63,46.58,19,132,6.95,22,157,7.14,16,47,34.04,16,38,42.11,21,107.3,5.11,"No",2016,9,"CD86639E-2475-4E5C-BB95-E92B88FD0271","TH-PCNR0075",7.9075,85.55,0.1895,8.6625,0.00125,0.06075,0.0226,3.0775,3.1,14.7,NA,NA,NA,NA,"CD86639E-2475-4E5C-BB95-E92B88FD0271",39,91,2,111,42,2,34,0,11,356,28,688,10,76
"22",489,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2021-03-12",50,FALSE,1,5367,"BULBOURNE","TL0265406341",745347,1,"",2016-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738726,"2017-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,87,5.12,20,102.6,5.13,12,22,1.83,5,3,5,9.17,17,89,5.24,7.5,10.2,73.53,4.78,7.67,62.32,17,125,7.35,19,145,7.63,20,37,54.05,20,37,54.05,20,106.1,5.31,"No",2016,9,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D663FC0F-45DD-4985-9A6B-41B54349080A",115,130,0,5,99,0,5,0,24,112,30,490,11,104
"23",491,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34307,1,"SU",98037,99623,"SU9803799623","GB106039029870",88,2.2,4.07,1,6.1,15.33,5,58,22,15,254,NA,NA,NA,"1995-01-01","1982-08-24","2020-10-06",32,FALSE,1,5427,"CHESS","SU9803799623",748781,1,"",2016-11-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738727,"2017-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,90,5,19,92,4.84,13,17,1.31,3,3,3,3.92,19,90,4.74,6.5,10.78,60.3,2.26,6.37,35.48,17,117,6.88,18,129,7.17,11,33,33.33,11,31,35.48,19,97.4,5.13,"No",2016,11,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0014",7.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",127,222,0,6,4,0,20,0,262,152,32,807,7,24
"24",496,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2020-10-06",75,FALSE,1,5552,"GADE","TL0412810065",751868,1,"",2016-10-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739467,"2017-02-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,102,5.37,27,156.6,5.8,15,26,1.73,7,5,7,12.13,25,133,5.32,14.02,18.19,77.08,7.04,9.7,72.58,20,151,7.55,22,172,7.82,45,60,75,27,44,61.36,27,158.5,5.87,"No",2016,10,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",7.69,112.65,0.0505,11.3,0.000555,0.042,0.0697,4.875,4.945,15.15,NA,NA,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",0,3476,0,55,315,0,6,1,132,9,49,4005,17,322
"25",505,"THAMES - SOUTH EAST","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2021-04-12",53,FALSE,1,5691,"WANDLE (CARSHALTON ARM)","TQ2819565255",746983,1,"",2016-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738234,"2017-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,112,4.87,25,120.6,4.82,22,28,1.27,1,5,5,6.36,17,81,4.76,11.38,16.52,68.89,8.83,12.02,73.46,22,156,7.09,25,178,7.12,30,62,48.39,29,53,54.72,25,123.3,4.93,"No",2016,10,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",7.6,101.3,0.017,10.7,0.00027,0.03,0.013,6.89,6.9,12.9,NA,NA,NA,NA,"529480E3-2130-43C7-A5CD-B00A4CE31C06",77,521,30,4,359,0,129,0,340,270,41,1831,12,488
"26",514,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34344,1,"TL",37056,27494,"TL3705627494","GB106038040140",80,2.5,11.59,1,3.7,10,12,77,4,6,272,NA,NA,NA,"1995-01-01","1983-08-09","2019-10-14",40,FALSE,1,5841,"RIB","TL3705627494",745894,1,"",2016-09-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",738801,"2016-09-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,121,5.04,27,140.1,5.19,17,20,1.18,1,5,5,5.88,22,109,4.95,14.39,19.41,74.14,11.01,14.87,74.04,23,164,7.13,25,179,7.16,31,56,55.36,29,53,54.72,27,138.3,5.12,"No",2016,9,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5","TH-PLER0126",7.22,74.6,1.61,7.82,0.00084,0.172,0.0644,13.7,13.8,13.1,NA,NA,NA,NA,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5",109,128,1,172,131,0,35,10,84,216,44,887,13,176
"27",521,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2020-11-12",52,FALSE,1,5982,"RODING","TL5610404058",746461,1,"",2016-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739603,"2017-02-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,72,4.5,22,107.9,4.9,14,33,2.36,5,3,5,11.79,18,86,4.78,7,9.82,71.28,2.5,5.43,46.04,16,114,7.13,17,125,7.35,11,27,40.74,18,34,52.94,22,108.6,4.94,"No",2016,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",7.95,87.1,0.154,8.7,0.00084,0.035,0.0227,4.52,4.54,15.3,NA,NA,NA,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",85,261,0,0,19,43,83,0,278,76,30,850,4,102
"28",525,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2020-11-18",78,FALSE,1,6069,"ASH (LEE)","TL4242016910",748960,1,"",2016-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739604,"2017-02-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,147,5.25,31,170.6,5.5,21,37,1.76,5,5,5,8.81,22,111,5.05,14,20.74,67.5,6.77,12.12,55.86,27,191,7.07,30,225,7.5,34,67,50.75,28,55,50.91,31,164.8,5.32,"No",2016,11,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",7.725,93.3,0.08,9.565,0.001075,0.0805,0.0501,7.115,7.165,14.25,NA,NA,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",22,1383,3,16,136,0,157,0,74,310,49,2118,16,293
"29",526,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2021-04-27",75,FALSE,1,6116,"ASH (LEE)","TL3770013300",748958,1,"",2016-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",739605,"2017-02-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,120,5.71,22,127.9,5.81,12,17,1.42,3,5,5,7.08,19,97,5.11,8.88,10.96,81.02,5.79,8.47,68.36,21,151,7.19,21,159,7.57,20,36,55.56,20,35,57.14,22,130.3,5.92,"No",2016,11,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",7.68,84.5,0.415,8.5,0.00082,0.064,0.0444,5.11,5.15,15,NA,NA,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",17,67,0,27,27,0,83,0,29,16,31,267,12,110
"30",542,"THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","DUN (KENNET)",34404,1,"SU",29925,67199,"SU2992567199","GB106039017350",125,1.1,8.19,3,4.4,44,3,41,12,44,235,NA,NA,NA,"2013-12-01","2011-05-25","2016-10-18",10,FALSE,1,6246,"DUN (KENNET)","SU2992567199",747815,1,"",2016-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",735907,"2016-11-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,172,5.93,33,191.6,5.81,25,45,1.8,5,7,7,12.6,26,136,5.23,17.75,22.66,78.33,9.78,15.12,64.68,29,211,7.28,33,257,7.79,39,63,61.9,33,60,55,33,193.4,5.86,"No",2016,10,"7295DA9E-36B5-4CD4-B40B-0E5E8D15A729","TH-PKER0280",7.84,83.4,0.056,8.75,0.00077,0.048,0.0202,5.12,5.14,13.1,NA,NA,NA,NA,"7295DA9E-36B5-4CD4-B40B-0E5E8D15A729",10,100,1,55,66,2,35,1,36,152,45,463,16,102
