"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved as O2_mg/l","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrite as N_mg/l","Nitrate as N_mg/l","BOD : 5 Day ATU_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",400,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","OLD RIVER CHESS",34054,1,"SU",99900,98500,"SU9990098500","GB106039029870",85,2.5,6.57,1,5.1,33.33,7,51,32,10,248,NA,NA,NA,"1995-01-01","1990-03-06","2006-10-23",19,FALSE,1,3916,"OLD RIVER CHESS","SU9990098500",544450,1,"",2006-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539477,"2006-10-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,148,5.69,29,163,5.62,NA,NA,NA,NA,NA,NA,NA,20,105,5.25,1.13,1.13,100,7.03,10.45,67.27,26,183,7.04,NA,NA,NA,NA,3,0,28,52,53.85,29,163.4,5.63,"No",2006,10,"5B9967EA-C76A-4969-BB13-3DCDA6A7AD0D","TH-PCNR0207",0.00192333333333333,9.25666666666667,0.32,17.7266666666667,0.0743333333333333,7.90333333333333,17.4,97.4,0.0987,17.3,1.3,NA,NA,NA,"5B9967EA-C76A-4969-BB13-3DCDA6A7AD0D",35,305,0,251,218,12,310,0,24,21,30,1176,12,528
"12",403,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","POTTERS BAR BROOK",34057,1,"TL",23254,2380,"TL2325402380","GB106039029850",80,5,5.27,1,1.7,11,13,60,18,8,178,NA,NA,NA,"1995-01-01","1990-03-01","2013-09-19",18,FALSE,1,3940,"POTTERS BAR BROOK","TL2325402380",546170,1,"",2006-11-21,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",543594,"2007-01-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,62,4.77,14,60.5,4.32,NA,NA,NA,NA,NA,NA,NA,9,38,4.22,0.63,0.63,100,3.5,5.2,67.31,11,77,7,NA,NA,NA,NA,4,0,13,28,46.43,14,64.8,4.63,"No",2006,11,"79612B91-E313-4E0E-ABD0-FD1917B088C5","TH-PCNR0083",0.00109666666666667,9.22333333333333,0.634666666666667,18.6933333333333,0.0313333333333333,8.1,2.88,99.4666666666667,0.0170333333333333,2.86333333333333,1.1,NA,NA,NA,"79612B91-E313-4E0E-ABD0-FD1917B088C5",520,3300,1,0,13,0,202,0,8,1,14,4045,5,215
"13",404,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HORTON BROOK",34061,1,"TQ",1800,72400,"TQ0180072400","GB106039023000",16,1.8,14.25,1,3.6,31.67,6,29,10,55,157,NA,NA,NA,"1995-01-01","1990-03-08","2014-09-22",24,FALSE,1,3948,"HORTON BROOK","TQ0180072400",544173,1,"",2006-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539193,"2006-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,41,3.73,15,61.2,4.08,1,1,1,1,1,1,1,9,32,3.56,1.5,1.87,80.21,NA,2.44,0,10,62,6.2,2,15,7.5,2,4,50,4,24,16.67,15,59.9,3.99,"No",2006,10,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3","TH-PCNR0063",0.00069,7.45,0.114,16.2366666666667,0.047,7.69666666666667,0.466666666666667,75.9666666666667,0.0123666666666667,0.454333333333333,1,NA,NA,NA,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3",5,63,0,4,1,0,0,0,33,12,17,118,1,1
"14",410,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",34080,1,"TQ",35605,92946,"TQ3560592946","GB106038027910",15,3,12.72,5,10,91.67,10,53,20,17,218,NA,NA,NA,"1995-01-01","1984-02-29","2014-09-23",32,FALSE,1,4010,"SALMON BROOK","TQ3560592946",545225,1,"",2006-10-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",543392,"2006-11-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,40,3.33,12,30.8,2.57,8,10,1.25,1,1,1,1.25,7,25,3.57,1.5,4.93,30.43,NA,3.43,0,10,56,5.6,10,60,6,3,29,10.34,3,29,10.34,12,37,3.08,"No",2006,10,"8A5BD54A-6C54-432E-AB3E-36E236038062","TH-PLER0459",NA,NA,4.66478260869565,NA,0.883913043478261,NA,18.3565217391304,NA,NA,NA,4.02173913043478,13.5565217391304,NA,NA,"8A5BD54A-6C54-432E-AB3E-36E236038062",108,200,40,0,0,0,0,0,200,120,12,668,0,0
"15",428,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","PYMMES BROOK",34135,1,"TQ",33855,92488,"TQ3385592488","GB106038027940",19,1,14.8,1,7.3,32.33,7,59,12,23,210,NA,NA,NA,"1995-01-01","1984-02-22","2017-03-07",26,FALSE,1,4302,"PYMMES BROOK","TQ3385592488",548270,1,"",2006-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",543408,"2006-11-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",7,18,2.57,8,18.2,2.28,4,7,1.75,3,1,3,5.25,4,13,3.25,NA,3.05,0,NA,2.43,0,5,25,5,6,33,5.5,NA,18,0,NA,16,0,8,25,3.13,"No",2006,11,"BE432AA1-9E9B-44BE-AF99-C6848E296440","TH-PLER0458",NA,NA,0.735555555555556,NA,0.723888888888889,NA,2.07222222222222,NA,NA,NA,9.03888888888889,182.055555555556,NA,NA,"BE432AA1-9E9B-44BE-AF99-C6848E296440",450,100,0,0,0,0,0,0,610,22,9,1182,0,0
"16",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4507,"MIMRAM","TL2075418006",546443,1,"",2006-11-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",544494,"2007-01-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,156,5.38,33,165.9,5.03,34,52,1.53,7,7,7,10.71,24,119,4.96,14.63,22.81,64.14,7.27,12.18,59.69,28,193,6.89,35,244,6.97,33,76,43.42,28,63,44.44,33,167.6,5.08,"No",2006,11,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.001355,9.825,0.278333333333333,20.145,0.035,8.165,4.32,108.6,0.038,4.28333333333333,1.6,27.7333333333333,NA,15,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",1001,223,35,501,56,0,846,0,43,115,47,2820,14,902
"17",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,1,4758,"RIB","TL3315413930",545497,1,"",2006-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",540467,"2006-11-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,143,5.96,30,167.3,5.58,NA,NA,NA,NA,NA,NA,NA,21,101,4.81,1.63,2,81.5,3.53,7.43,47.51,24,165,6.88,NA,NA,NA,NA,4,0,18,44,40.91,30,171.2,5.71,"No",2006,11,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",6e-04,7.47,0.27,16.1,0.03,7.84,3.92,76,0.0101,3.91,1,8.7,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",502,54,0,8,30,1,368,0,313,42,32,1320,10,398
"18",468,"THAMES - NORTH EAST","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2020-10-01",35,FALSE,1,4946,"CRANE","TQ1116574665",543675,1,"",2006-09-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539023,"2006-10-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,99,4.5,25,91.9,3.68,NA,NA,NA,NA,NA,NA,NA,15,60,4,NA,0.49,0,2.01,8.37,24.01,23,134,5.83,NA,NA,NA,NA,3,0,8,48,16.67,25,99.1,3.96,"No",2006,9,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",0.00114,7.44,0.312,21.645,0.03,7.95,1.97,85.5,0.05435,1.915,3.35,9.35,NA,NA,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",100,262,2,1,11,13,31,0,11,677,25,1109,4,42
"19",472,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34262,1,"TQ",42353,87109,"TQ4235387109","GB106037028181",4,1.1,64.47,3,9.7,22.33,8,60,17,15,190,NA,NA,NA,"1995-01-01","1979-08-13","2018-10-25",47,FALSE,1,4992,"RODING","TQ4235387109",543739,1,"",2006-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539025,"2006-10-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,88,4.19,24,74.2,3.09,NA,NA,NA,NA,NA,NA,NA,17,71,4.18,0.5,0.5,100,0.5,8.8,5.68,22,122,5.55,NA,NA,NA,NA,4,0,4,54,7.41,24,90,3.75,"No",2006,10,"74F79238-8A74-4EDE-A062-4C3B0E3E1C86","TH-PRGR0078",0.00577666666666667,10.8233333333333,1.29066666666667,19.6666666666667,0.249333333333333,8.09666666666667,2.99333333333333,119,0.173266666666667,2.82066666666667,1.76666666666667,NA,NA,NA,"74F79238-8A74-4EDE-A062-4C3B0E3E1C86",1100,4034,4,20,8,1,1,0,2,1633,25,6805,2,9
"20",483,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2020-10-13",83,FALSE,1,5178,"MISBOURNE","TQ0130088350",545457,1,"",2006-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542518,"2007-01-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,99,5.82,17,89.1,5.24,NA,NA,NA,NA,NA,NA,NA,11,55,5,NA,NA,NA,2.01,4.43,45.37,15,101,6.73,NA,NA,NA,NA,3,0,8,26,30.77,17,93.7,5.51,"No",2006,11,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.00114,9.435,0.027,18.25,0.039,7.995,2.405,100.5,0.025,2.38,1.5,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",16,17,0,8,14,0,71,0,100,20,18,248,7,85
"21",489,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2021-03-12",50,FALSE,1,5360,"BULBOURNE","TL0265406341",544570,1,"",2006-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",539955,"2006-10-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,59,4.54,16,67.7,4.23,NA,NA,NA,NA,NA,NA,NA,10,41,4.1,0.5,0.87,57.47,2.51,4.93,50.91,12,78,6.5,NA,NA,NA,NA,4,0,9,28,32.14,16,70.9,4.43,"No",2006,10,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",0.038405,7.325,1.54,22.515,0.786,8.02,9.6,84.7,0.301,9.32,5.15,NA,NA,54.05,"D663FC0F-45DD-4985-9A6B-41B54349080A",384,121,5,0,63,0,0,0,165,100,16,838,4,63
"22",491,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34307,1,"SU",98037,99623,"SU9803799623","GB106039029870",88,2.2,4.07,1,6.1,15.33,5,58,22,15,254,NA,NA,NA,"1995-01-01","1982-08-24","2020-10-06",32,FALSE,1,5423,"CHESS","SU9803799623",543610,1,"",2006-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",538718,"2006-10-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,79,4.65,18,80.5,4.47,NA,NA,NA,NA,NA,NA,NA,15,65,4.33,0.5,0.5,100,0.5,5.1,9.8,15,90,6,NA,NA,NA,NA,4,0,5,30,16.67,18,84.4,4.69,"No",2006,10,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4","TH-PCNR0012",0.000853333333333333,9.64333333333333,0.0516666666666667,15.5566666666667,0.048,7.82333333333333,4.39333333333333,96.8666666666667,0.0151666666666667,4.37666666666667,1.23333333333333,NA,NA,NA,"63A05CD1-6C28-46AF-ADA3-BDC6A1897DC4",302,5,0,6,33,0,3,0,302,425,20,1113,4,36
"23",496,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2020-10-06",75,FALSE,1,5523,"GADE","TL0412810065",545692,1,"",2006-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",542632,"2006-11-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,140,4.83,35,161.9,4.63,32,36,1.13,1,5,5,5.63,28,134,4.79,7,20.22,34.62,4.52,12.11,37.32,28,167,5.96,37,229,6.19,15,77,19.48,18,66,27.27,35,169.4,4.84,"No",2006,11,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",0.001655,23.05,0.0206,16.025,0.0712,7.9775,2.958,238.575,0.04376,2.916,3.46,8.1,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",211,167,0,15,105,40,210,1,515,242,50,1558,12,316
"24",512,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2020-10-06",60,FALSE,1,5756,"LEE (THAMES)","TL2983509755",543232,1,"",2006-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",541188,"2006-11-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,137,5.07,29,151.4,5.22,NA,NA,NA,NA,NA,NA,NA,20,97,4.85,1,1,100,5.77,12.35,46.72,27,181,6.7,NA,NA,NA,NA,2,0,20,51,39.22,29,148.9,5.13,"No",2006,9,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",0.00121333333333333,8.97333333333333,0.683333333333333,19.8833333333333,0.03,8.005,13.4833333333333,98.45,0.0312666666666667,14.4666666666667,1.33333333333333,11.1333333333333,0.771666666666667,11.8666666666667,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",12,27,0,104,117,20,36,0,60,362,29,739,9,153
"25",513,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2020-10-07",87,FALSE,1,5784,"MIMRAM","TL2788613403",546410,1,"",2006-11-29,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",543120,"2007-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,157,5.41,33,173.2,5.25,26,36,1.38,5,7,7,9.69,26,118,4.54,11.25,16.6,67.77,5.27,9.42,55.94,28,192,6.86,28,201,7.18,24,57,42.11,22,52,42.31,33,181.1,5.49,"No",2006,11,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.00092,10.805,0.047,16.415,0.037,7.92,4.61,110.55,0.0188,4.595,1,4.75,0.064,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",509,5006,2,13,53,0,90,0,2010,38,41,7728,14,143
"26",514,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34344,1,"TL",37056,27494,"TL3705627494","GB106038040140",80,2.5,11.59,1,3.7,10,12,77,4,6,272,NA,NA,NA,"1995-01-01","1983-08-09","2019-10-14",40,FALSE,1,5834,"RIB","TL3705627494",545623,1,"",2006-11-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",540599,"2006-11-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,87,4.58,21,93.5,4.45,NA,NA,NA,NA,NA,NA,NA,13,53,4.08,0.63,1,63,4.52,8.62,52.44,17,104,6.12,NA,NA,NA,NA,2,0,13,41,31.71,21,96.4,4.59,"No",2006,11,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5","TH-PLER0126",0.001015,7.485,3.86,15.695,0.06,7.755,20.15,75,0.08805,20.05,1,3.25,NA,NA,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5",8,107,0,202,21,0,101,0,7,616,23,1062,6,122
"27",518,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","QUIN",34348,1,"TL",39165,24801,"TL3916524801","GB106038040120",68,2.2,13.9,1,3.8,11,15,75,8,2,268,NA,NA,NA,"1995-01-01","1983-08-09","2020-10-27",39,FALSE,1,5926,"QUIN","TL3916524801",545840,1,"",2006-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",540836,"2006-11-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,131,5.24,30,149.4,4.98,NA,NA,NA,NA,NA,NA,NA,21,96,4.57,1.5,2.36,63.56,4.74,8.89,53.32,25,173,6.92,1,8,8,1,5,20,21,51,41.18,30,157.8,5.26,"No",2006,11,"A0CFA4B5-08E1-4829-A318-29513651F8CE","TH-PLER0118",0.00144,9.34333333333333,0.0296666666666667,14.66,0.0783333333333333,7.88666666666667,7.90333333333333,92.3333333333333,0.0621333333333333,7.84,1,6.33333333333333,NA,NA,"A0CFA4B5-08E1-4829-A318-29513651F8CE",165,503,0,6,92,0,25,2,25,23,35,857,10,119
"28",525,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2020-11-18",78,FALSE,1,6039,"ASH (LEE)","TL4242016910",545278,1,"",2006-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",544139,"2007-02-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,122,5.08,26,130.3,5.01,24,36,1.5,5,5,5,7.5,19,79,4.16,12.63,18.87,66.93,5.78,8.73,66.21,24,164,6.83,27,191,7.07,26,55,47.27,20,46,43.48,26,128.3,4.93,"No",2006,11,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",0.00123333333333333,7.67333333333333,0.0673333333333333,15.69,0.064,7.8,4.18666666666667,77.3333333333333,0.0368,4.15,1,4.4,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",504,206,3,314,18,0,101,0,15,413,32,1576,7,119
"29",526,"THAMES - NORTH EAST","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2021-04-27",75,FALSE,1,6093,"ASH (LEE)","TL3770013300",545277,1,"",2006-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",544359,"2007-02-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,166,5.72,31,170.6,5.5,28,43,1.54,5,7,7,10.75,22,104,4.73,19.26,26.96,71.44,8.04,12.91,62.28,27,190,7.04,29,217,7.48,35,69,50.72,29,57,50.88,31,168.8,5.45,"No",2006,11,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",0.000893333333333333,9.43333333333333,0.509666666666667,16.07,0.0353333333333333,7.93333333333333,5.25666666666667,96,0.0358333333333333,5.22,1,3.56666666666667,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",208,304,5,711,102,0,1004,0,162,674,36,3175,13,1106
"30",528,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","STEVENAGE BROOK",34362,1,"TL",28700,20400,"TL2870020400","GB106038033410",60,2.9,7.17,1,2.5,9.33,6,77,11,6,204,NA,NA,NA,"1995-01-01","1979-08-29","2020-10-06",75,FALSE,1,6145,"STEVENAGE BROOK","TL2870020400",545915,1,"",2006-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",544240,"2007-02-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,104,4.73,24,103.8,4.33,20,24,1.2,1,5,5,6,16,71,4.44,7.13,12.77,55.83,5.02,9.14,54.92,20,133,6.65,23,152,6.61,14,48,29.17,17,43,39.53,24,106.3,4.43,"No",2006,11,"4DA12656-6887-4BB2-8F0A-7494569065C9","TH-PLER0140",0.00262333333333333,10.85,0.425666666666667,19.41,0.0736666666666667,8.19666666666667,4.05,119.466666666667,0.0894,3.96,2.13333333333333,NA,NA,NA,"4DA12656-6887-4BB2-8F0A-7494569065C9",151,459,1,1,94,2,27,0,20,145,28,900,6,121
