"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","BOD : 5 Day ATU_mg/l","pH_phunits","Nitrate as N_mg/l","Oxygen, Dissolved, % Saturation_%","Nitrogen, Total Oxidised as N_mg/l","Orthophosphate, reactive as P_mg/l","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",368,"THAMES - NORTH EAST","BEANE","RIVER: Natural/semi-natural flowing fresh watercourse","BEANE",34017,1,"TL",29771,19790,"TL2977119790","GB106038033310",58,2,18.41,2,4.2,13.67,10,72,10,8,203,NA,NA,NA,"1995-01-01","1990-04-09","2020-10-06",82,FALSE,1,3484,"BEANE","TL2977119790",560827,1,"",2007-11-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",558005,"2008-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,91,4.79,21,95.9,4.57,19,24,1.26,1,3,3,3.79,14,60,4.29,5.5,9.41,58.45,3.02,4.95,61.01,17,117,6.88,20,135,6.75,13,39,33.33,14,33,42.42,21,98.6,4.7,"No",2007,11,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2","TH-PLER0012",0.064,1.06666666666667,7.85333333333333,3.1,81.4666666666667,3.14666666666667,0.082,0.00105333333333333,0.0477333333333333,8.22,14.7833333333333,4.23333333333333,NA,NA,"9A0DCC33-D666-4C01-A7AB-02B7B6476AC2",35,508,2,2,18,0,9,0,26,47,25,647,7,27
"12",372,"THAMES - NORTH EAST","THAMES SOURCE TO TEDDINGTON (NE SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (THAMES)",34021,1,"TQ",9300,67770,"TQ0930067770","GB106039023480",9,0.5,9.59,1,4.3,20.33,2,72,21,5,220,NA,NA,NA,"1995-01-01","1989-01-23","2019-11-08",54,FALSE,1,3581,"ASH (THAMES)","TQ0930067770",562611,1,"",2007-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",556305,"2007-11-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,77,4.53,17,68.8,4.05,NA,NA,NA,NA,NA,NA,NA,10,41,4.1,1.63,1.63,100,4.02,6.73,59.73,15,99,6.6,NA,NA,NA,NA,4,0,14,36,38.89,17,74.3,4.37,"No",2007,11,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F","TH-PTHR0005",0.131,1.1,7.83,4.84,76,4.95,0.2065,0.002895,0.11235,7.2,17.855,NA,NA,NA,"AA26F4BD-5A23-4D9E-B387-57ABDD3E8B3F",216,120,5,0,3,10,10,0,111,50,18,545,3,13
"13",381,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (NAV.SUB B)",34031,1,"TQ",36450,95700,"TQ3645095700","GB106038027950",17,0.8,71.31,3,18,150,0,4,4,92,218,NA,NA,NA,"1995-01-01","1990-06-08","2019-11-12",21,FALSE,1,3656,"LEE (NAV.SUB B)","TQ3645095700",558738,1,"",2007-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553374,"2007-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,79,4.65,19,87.6,4.61,NA,NA,NA,NA,NA,NA,NA,11,41,3.73,NA,NA,NA,1.5,4.93,30.43,17,105,6.18,NA,NA,NA,NA,NA,NA,6,29,20.69,19,85.8,4.52,"No",2007,10,"400E2135-9320-4C50-8490-F51B5688BF2D","TH-PLER0083",0.119,1.6,8.06,2.67333333333333,85.1333333333333,2.74666666666667,0.184333333333333,0.00420666666666667,0.0747,7.67,20.27,12.6333333333333,NA,NA,"400E2135-9320-4C50-8490-F51B5688BF2D",0,80,0,0,13,18,20,0,5,119,22,262,4,33
"14",382,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34032,1,"TQ",47800,98000,"TQ4780098000","GB106037028150",27,1.7,7.4,1,2.8,10,3,83,5,8,206,NA,NA,NA,"1995-01-01","1989-07-05","2019-11-25",30,FALSE,1,3670,"BROOKHOUSE BROOK","TQ4780098000",558030,1,"",2007-09-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",552948,"2007-10-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,46,3.83,15,59.6,3.97,6,6,1,1,1,1,1,10,41,4.1,5.13,7.2,71.25,3.51,6.16,56.98,10,67,6.7,6,41,6.83,7,18,38.89,11,27,40.74,15,64.4,4.29,"No",2007,9,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C","TH-PRGR0005",0.1875,4.25,8.115,20.95,111,21.4,3.7,0.006545,0.453,10.25,19,8.1,NA,2.7,"EE8405B8-00FC-4FEA-A64E-D149B59A3D8C",80,180,0,3,0,0,15,0,150,27,15,455,1,15
"15",384,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34034,1,"TQ",50300,97400,"TQ5030097400","GB106037028180",28,1,43.03,2,4.3,30,3,67,15,15,226,NA,NA,NA,"1995-01-01","1990-03-12","2020-11-12",46,FALSE,1,3695,"RODING","TQ5030097400",558415,1,"",2007-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553241,"2007-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,115,5.23,26,128.7,4.95,3,3,1,1,5,5,5,19,84,4.42,1.5,2.48,60.48,6.26,10.67,58.67,22,148,6.73,5,34,6.8,2,10,20,15,47,31.91,26,126.1,4.85,"No",2007,10,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837","TH-PRGR0032",0.03,1,7.995,4.72,83.5,4.745,0.5515,0.000855,0.0278,7.955,17.5,4,NA,2.3,"8DAD085A-36CB-487A-9F90-A8CA2CA1B837",57,102,10,100,183,9,66,0,83,64,28,675,7,249
"16",397,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","CRIPSEY BROOK",34049,1,"TL",55200,2600,"TL5520002600","GB106037033470",40,1.8,15.67,1,4.5,25,27,35,20,18,227,NA,NA,NA,"1995-01-01","1988-10-25","2009-05-20",27,FALSE,1,3891,"CRIPSEY BROOK","TL5520002600",557770,1,"",2007-09-28,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",552706,"2007-10-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,48,4.36,12,51,4.25,5,9,1.8,5,1,5,9,8,37,4.63,2,4.21,47.51,2,4.69,42.64,9,56,6.22,7,43,6.14,3,19,15.79,4,24,16.67,12,54.5,4.54,"No",2007,9,"8D306F88-CCE2-41A3-A586-3A42D33D38ED","TH-PRGR0013",0.038,1,7.935,4.42,83,4.445,0.5315,0.001,0.0247,8,17,9.4,NA,NA,"8D306F88-CCE2-41A3-A586-3A42D33D38ED",15,172,0,1,0,7,38,0,3,72,12,308,2,38
"17",404,"THAMES - NORTH EAST","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","HORTON BROOK",34061,1,"TQ",1800,72400,"TQ0180072400","GB106039023000",16,1.8,14.25,1,3.6,31.67,6,29,10,55,157,NA,NA,NA,"1995-01-01","1990-03-08","2014-09-22",24,FALSE,1,3950,"HORTON BROOK","TQ0180072400",561297,1,"",2007-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",555012,"2007-11-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,109,4.95,27,128.5,4.76,NA,NA,NA,NA,NA,NA,NA,18,76,4.22,0.5,0.5,100,2.74,6.64,41.27,21,135,6.43,NA,NA,NA,NA,4,0,14,42,33.33,27,136.1,5.04,"No",2007,11,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3","TH-PCNR0063",0.067,1.9,7.85,0.187,80.35,0.2,0.053,0.001725,0.0133,7.4,19.235,NA,NA,NA,"5603C2CA-63C4-4E1D-9F64-59C39A594FA3",155,211,1,2,40,0,0,0,167,88,27,672,5,40
"18",410,"THAMES - NORTH EAST","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","SALMON BROOK",34080,1,"TQ",35605,92946,"TQ3560592946","GB106038027910",15,3,12.72,5,10,91.67,10,53,20,17,218,NA,NA,NA,"1995-01-01","1984-02-29","2014-09-23",32,FALSE,1,4012,"SALMON BROOK","TQ3560592946",560896,1,"",2007-11-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",554611,"2007-11-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",7,23,3.29,7,11.4,1.63,NA,NA,NA,NA,NA,NA,NA,2,5,2.5,NA,NA,NA,NA,1.95,0,5,24,4.8,1,5,5,NA,5,0,NA,17,0,7,19.7,2.81,"No",2007,11,"8A5BD54A-6C54-432E-AB3E-36E236038062","TH-PLER0459",0.5,2.75555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0555555555556,NA,NA,"8A5BD54A-6C54-432E-AB3E-36E236038062",264,1059,2,0,0,0,0,0,31,0,7,1356,0,0
"19",417,"THAMES - NORTH EAST","BRENT","RIVER: Natural/semi-natural flowing fresh watercourse","BRENT",34091,1,"TQ",20300,86100,"TQ2030086100","GB106039023590",29,2.5,17.78,2,7.5,16.67,23,50,13,13,184,NA,NA,NA,"1995-01-01","1985-03-12","2018-10-29",21,FALSE,1,4126,"BRENT","TQ2030086100",557067,1,"",2007-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",552239,"2007-09-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,49,3.5,16,48.6,3.04,9,11,1.22,1,1,1,1.22,9,29,3.22,1.5,4.06,36.95,NA,3.69,0,14,80,5.71,12,70,5.83,3,27,11.11,3,34,8.82,16,52,3.25,"No",2007,9,"BED8C8A2-CC59-4659-8482-BEC9EBB73CB4","TH-PBRR0007",0.2935,3.25,8.03,1.715,104.5,1.805,0.279,0.00732,0.09095,10.17,16.46,NA,NA,NA,"BED8C8A2-CC59-4659-8482-BEC9EBB73CB4",175,1104,20,0,0,0,0,0,6,137,17,1442,0,0
"20",438,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STORT",34164,1,"TL",49030,17620,"TL4903017620","GB106038033281",52,1.3,27.4,2,20,116.67,0,18,5,77,260,NA,NA,NA,"1995-01-01","1975-01-06","2019-11-08",40,FALSE,1,4457,"STORT","TL4903017620",567029,1,"",2007-11-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",561692,"2007-11-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,131,4.85,28,121.6,4.34,23,27,1.17,1,5,5,5.87,20,85,4.25,4.63,13.44,34.45,2.27,8.19,27.72,26,162,6.23,26,163,6.27,10,54,18.52,11,51,21.57,28,127.1,4.54,"No",2007,11,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C","TH-PLER0152",0.0995,1.3,7.88,13.95,79.5,14.05,2.02,0.002295,0.0878,7.585,17.405,12.5,NA,7.9,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C",84,140,5,1,15,10,106,0,21,40,29,429,7,121
"21",441,"THAMES - NORTH EAST","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2020-10-06",89,FALSE,1,4510,"MIMRAM","TL2075418006",559107,1,"",2007-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553577,"2007-10-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",31,163,5.26,38,192.3,5.06,32,46,1.44,5,7,7,10.06,27,134,4.96,12.89,22.67,56.86,6.78,12.91,52.52,30,207,6.9,37,253,6.84,26,75,34.67,25,68,36.76,38,193.9,5.1,"No",2007,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.0306666666666667,1.16666666666667,7.87666666666667,6.04,106.166666666667,6.07666666666667,0.136666666666667,0.000603333333333333,0.0371,10.8333333333333,14.3,3.13333333333333,NA,5.43333333333333,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",130,197,13,110,124,0,357,0,80,84,52,1135,15,481
"22",450,"THAMES - NORTH EAST","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","PINCEY BROOK",34194,1,"TL",51300,13200,"TL5130013200","GB106038033380",51,3,14.44,1,4,25,0,40,30,30,256,828,355,133,"1995-01-01","1981-08-03","2008-10-06",15,FALSE,1,4667,"PINCEY BROOK","TL5130013200",560125,1,"",2007-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",554133,"2007-11-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",9,42,4.67,9,41.5,4.61,NA,NA,NA,NA,NA,NA,NA,6,32,5.33,1.63,1.63,100,3.01,4.45,67.64,8,61,7.63,NA,NA,NA,NA,4,0,13,21,61.9,9,44.6,4.96,"No",2007,11,"A15E69D1-18A0-4D7C-8E23-D93850AC3934","TH-PLER0108",0.11,NA,7.94,5.86,76,5.92,0.789,0.00223,0.0614,7.93,13.31,NA,NA,NA,"A15E69D1-18A0-4D7C-8E23-D93850AC3934",241,81,0,0,3,0,2,0,33,212,12,572,3,5
"23",453,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34211,1,"TQ",46600,96900,"TQ4660096900","GB106037028180",22,0.9,48.23,3,8,38.33,8,65,9,18,220,NA,NA,NA,"1995-01-01","1975-01-15","2015-10-29",30,FALSE,1,4743,"RODING","TQ4660096900",558271,1,"",2007-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553155,"2007-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,111,4.83,24,94.1,3.92,6,7,1.17,1,5,5,5.83,16,64,4,2,5.07,39.45,1,6.87,14.56,22,134,6.09,8,48,6,3,22,13.64,8,45,17.78,24,103,4.29,"No",2007,10,"A47B9210-D105-41B4-9DA6-4EAA2CF80973","TH-PRGR0027",0.054,1.15,7.925,6.275,81.5,6.345,0.7505,0.00135,0.0712,7.935,16.5,3.7,NA,2.685,"A47B9210-D105-41B4-9DA6-4EAA2CF80973",81,1164,6,3,8,9,1,0,501,153,27,1969,4,9
"24",454,"THAMES - NORTH EAST","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2021-03-03",60,FALSE,1,4760,"RIB","TL3315413930",558956,1,"",2007-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553589,"2007-10-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,79,5.27,20,102.9,5.15,16,29,1.81,5,3,5,9.06,17,84,4.94,5.5,9.06,60.71,2.25,5.16,43.6,14,95,6.79,19,130,6.84,10,32,31.25,10,30,33.33,20,106.5,5.33,"No",2007,10,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.031,1,7.89,6.15,81,6.16,0.303,0.00069,0.0115,7.97,16.02,8.7,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",150,14,0,1,10,1,52,0,51,9,27,292,8,62
"25",464,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34248,1,"TL",47780,340,"TL4778000340","GB106037028150",37,3.3,4.76,1,1.5,10,15,50,10,25,206,NA,NA,NA,"2012-10-04","1991-01-17","2007-11-16",12,FALSE,2,4909,"BROOKHOUSE BROOK","TL4778000340",563295,1,"",2007-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",557083,"2007-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,30,3,10,29.2,2.92,NA,NA,NA,NA,NA,NA,NA,5,18,3.6,0.63,0.63,100,2,5.16,38.76,8,46,5.75,NA,NA,NA,NA,4,0,4,22,18.18,10,34.8,3.48,"No",2007,9,"A8AB451C-5D71-4B13-9143-F7FEEA215A95","TH-PRGR0087",0.03,1,8.09,2.43,86,2.44,0.28,0.00078,0.0081,8.69,14.77,24.3,NA,1.1,"A8AB451C-5D71-4B13-9143-F7FEEA215A95",123,20,0,0,0,0,10,0,202,80,10,435,1,10
"26",464,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34248,1,"TL",47780,340,"TL4778000340","GB106037028150",37,3.3,4.76,1,1.5,10,15,50,10,25,206,NA,NA,NA,"2012-10-04","1991-01-17","2007-11-16",12,FALSE,2,4910,"BROOKHOUSE BROOK","TL4778000340",566989,1,"",2007-11-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",561612,"2007-11-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,49,3.5,14,41.7,2.98,9,10,1.11,1,1,1,1.11,9,36,4,2.63,5.7,46.14,1.25,4.92,25.41,12,71,5.92,12,75,6.25,5,29,17.24,5,29,17.24,14,50.4,3.6,"No",2007,11,"A8AB451C-5D71-4B13-9143-F7FEEA215A95","TH-PRGR0087",0.03,1,8.09,2.43,86,2.44,0.28,0.00078,0.0081,8.69,14.77,24.3,NA,1.1,"A8AB451C-5D71-4B13-9143-F7FEEA215A95",210,140,8,0,0,0,2,0,203,70,14,633,1,2
"27",468,"THAMES - NORTH EAST","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2020-10-01",35,FALSE,1,4948,"CRANE","TQ1116574665",561753,1,"",2007-11-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",558814,"2008-01-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,72,4.24,19,66.3,3.49,NA,NA,NA,NA,NA,NA,NA,13,53,4.08,NA,NA,NA,NA,5.12,0,17,96,5.65,NA,NA,NA,NA,4,0,3,39,7.69,19,71.5,3.76,"No",2007,11,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",0.357,1.5,7.855,2.74,74,2.855,0.246,0.008335,0.116,7.04,17.68,3.8,NA,NA,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",200,351,5,0,5,0,30,0,3,273,20,867,3,35
"28",472,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34262,1,"TQ",42353,87109,"TQ4235387109","GB106037028181",4,1.1,64.47,3,9.7,22.33,8,60,17,15,190,NA,NA,NA,"1995-01-01","1979-08-13","2018-10-25",47,FALSE,1,4994,"RODING","TQ4235387109",558589,1,"",2007-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",553318,"2007-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,54,3.6,18,59.1,3.28,5,5,1,1,3,3,3,11,40,3.64,1,2.84,35.21,0.75,6.36,11.79,15,85,5.67,5,30,6,2,16,12.5,4,41,9.76,18,66.4,3.69,"No",2007,10,"74F79238-8A74-4EDE-A062-4C3B0E3E1C86","TH-PRGR0078",3.22,4.1,7.95,1.9,53,2.36,1.11,0.101,0.46,4.9,19,NA,NA,NA,"74F79238-8A74-4EDE-A062-4C3B0E3E1C86",240,867,16,20,0,0,2,0,5,397,20,1547,2,2
"29",476,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34276,1,"TL",47760,450,"TL4776000450","GB106037028150",40,3.4,3.99,1,2.5,20,1,65,0,34,187,NA,NA,NA,"2012-10-04","1989-07-05","2013-10-16",16,FALSE,2,5048,"BROOKHOUSE BROOK","TL4776000450",563294,1,"",2007-09-30,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",557082,"2007-09-30","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,36,3.27,11,37.9,3.45,NA,NA,NA,NA,NA,NA,NA,6,22,3.67,1,1,100,3.01,5.95,50.59,9,56,6.22,NA,NA,NA,NA,3,0,8,27,29.63,11,40.5,3.68,"No",2007,9,"A8AB451C-5D71-4B13-9143-F7FEEA215A95","TH-PRGR0087",0.03,1,8.09,2.43,86,2.44,0.28,0.00078,0.0081,8.69,14.77,24.3,NA,1.1,"A8AB451C-5D71-4B13-9143-F7FEEA215A95",100,30,0,0,0,0,20,0,50,82,11,282,1,20
"30",476,"THAMES - NORTH EAST","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34276,1,"TL",47760,450,"TL4776000450","GB106037028150",40,3.4,3.99,1,2.5,20,1,65,0,34,187,NA,NA,NA,"2012-10-04","1989-07-05","2013-10-16",16,FALSE,2,5049,"BROOKHOUSE BROOK","TL4776000450",566986,1,"",2007-11-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",561608,"2007-11-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,65,3.82,17,67,3.94,13,14,1.08,1,3,3,3.23,11,41,3.73,5.63,9.3,60.54,4.01,6.7,59.85,15,97,6.47,16,106,6.63,11,34,32.35,12,35,34.29,17,68.6,4.04,"No",2007,11,"A8AB451C-5D71-4B13-9143-F7FEEA215A95","TH-PRGR0087",0.03,1,8.09,2.43,86,2.44,0.28,0.00078,0.0081,8.69,14.77,24.3,NA,1.1,"A8AB451C-5D71-4B13-9143-F7FEEA215A95",113,150,6,0,20,0,10,0,31,66,18,397,2,30
