"","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"19","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","DONCOMBE BROOK",7695,1,"ST",78800,73200,"ST7880073200",378800,173200,"GB109053027400",140,9.5,1.2,1,1.2,4.75,17,65,10,8,247.9,826,,,1995-01-01,1995-03-14,2007-10-22,8,FALSE
"20","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","DONCOMBE BROOK",7696,1,"ST",78500,73200,"ST7850073200",378500,173200,"",150,22.2,0.7,1,1,6,33,48,12,7,261.8,658,,,1995-01-01,1995-03-14,2000-10-25,4,FALSE
"21","SOUTH WEST - NORTH WESSEX","BOYD","RIVER: Natural/semi-natural flowing fresh watercourse","FELTHAM BROOK",7697,1,"ST",71130,74080,"ST7113074080",371130,174080,"GB109053027510",80,6.7,5.1,1,1.5,21.73,10,70,15,5,241.2,765.7,,,1995-01-01,1995-03-14,2005-11-16,8,FALSE
"22","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7698,1,"ST",72700,89700,"ST7270089700",372700,189700,"",40,4,8.5,1,3.3,11.64,35,52,12,2,256.3,739.3,,,1995-01-01,1995-03-03,2000-09-19,4,FALSE
"23","SOUTH WEST - NORTH WESSEX","BOYD","RIVER: Natural/semi-natural flowing fresh watercourse","BOYD",7699,1,"ST",70300,72900,"ST7030072900",370300,172900,"",50,3.1,14.1,2,4,22,53,43,2,2,230.9,688.3,,,1995-01-01,1995-03-14,2000-10-23,4,FALSE
"24","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","OZLEWORTH BROOK",7700,1,"ST",76700,91300,"ST7670091300",376700,191300,"",60,8.3,12,1,3.9,46.64,8,58,15,18,239.1,605,,,1995-01-01,1995-03-03,2000-10-17,6,FALSE
"25","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","OZLEWORTH BROOK",7701,1,"ST",75800,91350,"ST7580091350",375800,191350,"",50,5.3,13,2,3.6,59.41,3,18,13,65,220.5,598,,,1995-01-01,1997-04-22,2000-11-17,4,FALSE
"26","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","OZLEWORTH BROOK",7702,1,"ST",75530,91600,"ST7553091600",375530,191600,"GB109054026610",50,5.2,13.5,2,4.1,33.31,7,65,22,7,227.3,586,,,1995-01-01,1995-03-08,2007-09-27,12,FALSE
"27","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7705,1,"ST",72000,93200,"ST7200093200",372000,193200,"",30,3.4,12.6,3,6,30.1,10,72,13,5,228.4,612,,,1995-01-01,1995-03-24,2000-09-19,4,FALSE
"28","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7706,1,"ST",71649,93350,"ST7164993350",371649,193350,"GB109054026600",30,3.4,14.5,3,5,17.75,10,78,10,2,237.1,622.3,,,1995-01-01,1995-03-08,2005-11-16,8,FALSE
"29","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","TORTWORTH BROOK",7707,1,"ST",69150,90800,"ST6915090800",369150,190800,"",60,4.8,4.5,1,1.7,26.09,58,35,5,2,229,669,,,1995-01-01,1995-03-03,2000-05-17,3,FALSE
"30","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","TORTWORTH BROOK",7708,1,"ST",68753,93417,"ST6875393417",368753,193417,"GB109054026590",30,2.8,8,1,3.6,21.55,10,75,13,2,262,756,,,1995-01-01,1995-03-03,2014-09-17,11,FALSE
"31","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7709,1,"ST",69350,95250,"ST6935095250",369350,195250,"",5,2.2,25.7,4,6.6,36.09,28,60,8,3,227.5,663.7,,,1995-01-01,1995-03-08,2000-09-19,4,FALSE
"32","SOUTH WEST - NORTH WESSEX","LITTLE AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LITTLE AVON",7711,1,"ST",72769,88908,"ST7276988908",372769,188908,"GB109054026580",60,8.3,7.9,1,4.1,12.33,22,72,7,0,245.5,562,,,1995-01-01,1995-03-03,2021-11-04,22,FALSE
"33","SOUTH WEST - NORTH WESSEX","SOMERSET FROME/MELLS","RIVER: Natural/semi-natural flowing fresh watercourse","SOMERSET FROME",7713,1,"ST",80650,55200,"ST8065055200",380650,155200,"",35,1.8,26.1,5,12.2,103.67,0,7,2,92,201.6,540.7,,,1995-01-01,1995-05-15,2000-11-15,4,FALSE
"34","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL FROME",7717,1,"ST",73200,82600,"ST7320082600",373200,182600,"",100,4,4,1,3,37.78,2,10,27,62,259.4,688.7,,,1995-01-01,1995-03-10,2000-09-11,4,FALSE
"35","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","LADDEN BROOK",7718,1,"ST",72100,84700,"ST7210084700",372100,184700,"GB109053027590",80,9.1,2.5,1,2,11.11,37,58,5,0,202.7,588.7,,,1995-01-01,1995-03-10,2004-10-21,5,FALSE
"36","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL FROME",7719,1,"ST",69193,82430,"ST6919382430",369193,182430,"GB109053027560",60,3.6,8.5,1,2.8,22.21,40,53,3,3,203.2,689,,,1995-01-01,1995-03-10,2021-11-04,20,FALSE
"37","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","LADDEN BROOK",7720,1,"ST",66533,82957,"ST6653382957",366533,182957,"GB109053027590",50,1.8,16,1,3.2,18.33,30,65,5,0,244.9,664,,,1995-01-01,1995-03-10,2021-06-03,11,FALSE
"38","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL FROME",7721,1,"ST",66650,82350,"ST6665082350",366650,182350,"",50,4,10.8,3,6,21.18,33,60,5,2,205.5,649.3,,,1995-01-01,1995-03-10,2000-09-11,4,FALSE
"39","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","BRADLEY BROOK",7722,1,"ST",64513,79509,"ST6451379509",364513,179509,"GB109053027570",40,4,10,2,3.6,20.67,50,44,5,1,200.8,663.7,,,1995-01-01,1995-03-10,2016-10-04,15,FALSE
"40","SOUTH WEST - NORTH WESSEX","BY BROOK","RIVER: Natural/semi-natural flowing fresh watercourse","BY BROOK",7723,1,"ST",83700,78900,"ST8370078900",383700,178900,"GB109053027500",100,6.9,8.4,1,4.6,27.67,20,48,20,12,244.5,605,,,1995-01-01,1995-03-20,2006-10-17,11,FALSE
"41","SOUTH WEST - NORTH WESSEX","BOYD","RIVER: Natural/semi-natural flowing fresh watercourse","BOYD",7735,1,"ST",68020,69770,"ST6802069770",368020,169770,"GB109053027510",20,3.8,18.3,2,4.5,14.53,22,70,7,2,248.2,735,,,1995-01-01,1995-03-13,2004-10-21,10,FALSE
"42","SOUTH WEST - NORTH WESSEX","BOYD","RIVER: Natural/semi-natural flowing fresh watercourse","BOYD",7736,1,"ST",69000,71400,"ST6900071400",369000,171400,"GB109053027510",30,6.3,16.3,2,5.5,22.3,50,45,3,2,240.9,696.7,,,1995-01-01,1995-03-13,2000-10-23,4,FALSE
"43","SOUTH WEST - NORTH WESSEX","BRISTOL FROME","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL FROME",7737,1,"ST",64100,77200,"ST6410077200",364100,177200,"GB109053027840",30,4,23.3,4,11.6,30.67,52,48,0,0,207.9,743.3,,,1995-01-01,1995-03-10,2008-10-28,13,FALSE
"44","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7738,1,"ST",68300,68900,"ST6830068900",368300,168900,"",20,0.6,97.7,7,23,172.23,3,53,27,17,231.8,625,,,1995-01-01,1995-05-04,2000-09-22,4,FALSE
"45","SOUTH WEST - NORTH WESSEX","SOMERSET FROME/MELLS","RIVER: Natural/semi-natural flowing fresh watercourse","SOMERSET FROME",7739,1,"ST",79640,52070,"ST7964052070",379640,152070,"",45,2,21.9,5,10.2,16.1,35,52,5,8,208.6,505,,,1995-01-01,1995-05-23,2000-10-23,4,FALSE
"46","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7740,1,"ST",80200,59850,"ST8020059850",380200,159850,"GB109053027372",30,0.5,71.2,7,21.8,171.1,40,35,5,20,243.7,641,,,1995-01-01,1995-05-02,2009-10-21,8,FALSE
"47","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7742,1,"ST",78320,61200,"ST7832061200",378320,161200,"GB109053027372",30,0.5,74,7,24.3,40.53,27,50,13,10,232.4,635,,,1995-01-01,1995-05-04,2009-09-22,12,FALSE
"48","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7743,1,"ST",79200,64450,"ST7920064450",379200,164450,"GB109053027372",30,0.5,77.6,7,15.3,149.67,7,57,17,20,232.5,638.3,,,1995-01-01,1995-05-04,2016-11-09,22,FALSE
"49","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7744,1,"ST",77622,67136,"ST7762267136",377622,167136,"GB109053027371",30,0.5,81.85,7,24.7,205,13,23,12,52,230.4,668.3,,,1995-01-01,1995-05-04,2000-10-03,4,FALSE
"50","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LAM BROOK",7745,1,"ST",76278,66521,"ST7627866521",376278,166521,"GB109053022300",30,7.6,7.1,1,2.5,31.77,25,65,8,2,221,538.7,,,1995-01-01,1995-03-09,2013-11-12,10,FALSE
"51","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7746,1,"ST",75300,64800,"ST7530064800",375300,164800,"",20,0.6,85.45,7,23.3,183.1,73,20,0,7,234.4,624.7,,,1995-01-01,1995-05-02,2000-05-25,3,FALSE
"52","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7747,1,"ST",71717,65740,"ST7171765740",371717,165740,"GB109053027371",20,0.6,89.7,7,19,121.67,18,53,10,18,230.8,643.7,,,1995-01-01,1995-04-20,2014-09-17,13,FALSE
"53","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","NEWTON BROOK",7748,1,"ST",71584,65195,"ST7158465195",371584,165195,"GB109053021880",20,1.1,10.75,2,4,21,25,70,5,0,238.3,474.5,,,1995-01-01,1995-03-13,2015-09-23,12,FALSE
"54","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7749,1,"ST",86100,61050,"ST8610061050",386100,161050,"",30,0.5,62.6,6,23,183.1,3,57,17,23,242.6,671.3,,,1995-01-01,1995-05-01,2000-10-04,4,FALSE
"55","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7750,1,"ST",69200,67900,"ST6920067900",369200,167900,"GB109053027371",20,0.6,95.1,7,28.3,183.1,25,37,12,27,232.3,664.3,,,1995-01-01,1995-04-20,2009-10-27,13,FALSE
"56","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BERRYFIELD STREAM",7751,1,"ST",89540,62190,"ST8954062190",389540,162190,"",40,1.8,1.2,1,1.4,20.1,3,27,13,57,212.8,823.3,,,1995-01-01,1995-04-19,2000-05-10,3,FALSE
"57","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7752,1,"ST",66000,68900,"ST6600068900",366000,168900,"",10,0.9,100.1,7,24.7,166.23,20,35,20,25,195,684.3,,,1995-01-01,1995-05-02,2000-10-03,4,FALSE
"58","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SISTON BROOK",7753,1,"ST",66490,70461,"ST6649070461",366490,170461,"GB109053027450",20,20,2.3,1,3.1,15.67,12,75,8,5,271.6,839.7,,,1995-01-01,1995-03-13,2013-10-11,11,FALSE
"59","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7754,1,"ST",64781,69843,"ST6478169843",364781,169843,"GB109053027371",10,0.9,103.2,8,23,136.67,2,45,43,10,230.3,681.7,,,1995-01-01,1995-04-20,2014-10-22,12,FALSE
"60","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CONYGRE BROOK",7756,1,"ST",69575,61489,"ST6957561489",369575,161489,"GB109053021880",70,8.7,5.9,1,3.5,9.68,27,70,3,0,276,705.3,,,1995-01-01,1995-03-13,2015-10-28,13,FALSE
"61","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","PRISTON STREAM",7757,1,"ST",69900,61500,"ST6990061500",369900,161500,"",70,8.7,3.9,1,2.3,10.09,15,75,10,0,256.5,654.7,,,1995-01-01,1995-03-13,2000-09-05,4,FALSE
"62","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","TRYM",7759,1,"ST",55800,77200,"ST5580077200",355800,177200,"GB109053027530",20,1.2,3,1,3.6,9.9,28,65,5,2,234.1,715.3,,,1995-01-01,1995-03-14,2014-09-03,12,FALSE
"63","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","RODBOURNE BROOK",7760,1,"ST",94099,83184,"ST9409983184",394099,183184,"GB109053027720",60,3,11.2,1,2.8,29.33,8,65,20,7,250.1,631,,,1995-01-01,1995-03-30,2016-10-20,13,FALSE
"64","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","ST CATHERINE'S BROOK",7761,1,"ST",77903,67870,"ST7790367870",377903,167870,"GB109053027810",20,1.1,10.5,1,2,38.23,7,48,38,7,226.2,530.3,,,1995-01-01,1995-03-09,2014-09-17,12,FALSE
"65","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","TETBURY AVON",7762,1,"ST",89450,92750,"ST8945092750",389450,192750,"GB109053027800",110,2.3,6.7,1,3.4,15.67,20,63,17,0,227,571,,,1995-01-01,1995-03-21,2004-11-02,8,FALSE
"66","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CORSTON BROOK",7763,1,"ST",69910,65620,"ST6991065620",369910,165620,"GB109053027371",20,1.5,3.35,1,2.5,9.33,13,77,8,2,246.4,538.7,,,1995-01-01,1995-03-13,2009-10-27,10,FALSE
"67","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7764,1,"ST",95800,78750,"ST9580078750",395800,178750,"",60,0.9,33.5,5,12.8,147.67,17,42,8,33,238.2,667,,,1995-01-01,1995-04-04,2000-03-21,3,FALSE
"68","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LUCKINGTON BROOK",7765,1,"ST",83800,83900,"ST8380083900",383800,183900,"GB109053027665",110,4.5,4.7,2,4.1,10.12,18,70,10,2,257.5,605.7,,,1995-01-01,1995-03-21,2006-11-09,16,FALSE
"69","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","LUCKINGTON BROOK",7766,1,"ST",84050,84550,"ST8405084550",384050,184550,"GB109053027665",100,12.5,5.5,2,3.7,12.33,17,72,10,2,255.2,610.7,,,1995-01-01,1995-03-21,2005-11-01,11,FALSE
"70","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7767,1,"ST",84300,85900,"ST8430085900",384300,185900,"GB109053027690",100,3.3,0.45,1,3.5,18.78,15,68,13,3,245.5,623.7,,,1995-01-01,1995-03-21,2008-10-16,15,FALSE
"71","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7768,1,"ST",85600,85700,"ST8560085700",385600,185700,"GB109053027690",100,2.9,7.6,3,4,17.21,27,63,10,0,241.2,606.3,,,1995-01-01,1995-03-21,2006-03-21,17,FALSE
"72","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7769,1,"ST",86180,86150,"ST8618086150",386180,186150,"GB109053027690",100,2.9,8.5,3,4.8,27.78,37,47,15,2,244.6,599,,,1995-01-01,1995-03-21,2006-11-09,13,FALSE
"73","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","TETBURY AVON",7770,1,"ST",92336,88150,"ST9233688150",392336,188150,"GB109053027780",75,1.1,11.1,3,5.5,26.22,35,57,7,2,235.9,581.3,,,1995-01-01,1995-03-27,2014-10-09,23,FALSE
"74","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SHERSTON AVON",7771,1,"ST",92900,87250,"ST9290087250",392900,187250,"GB109053027690",80,1.6,18.9,3,8.5,126.57,10,40,10,40,232.2,603.7,,,1995-01-01,1995-03-27,2008-10-16,11,FALSE
"75","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7772,1,"ST",94150,86900,"ST9415086900",394150,186900,"",70,1.5,20.3,4,9.7,152.23,12,30,20,38,229.4,626,,,1995-01-01,1995-03-27,2000-03-07,3,FALSE
"76","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7773,1,"ST",95694,87708,"ST9569487708",395694,187708,"GB109053027770",70,1.4,8.2,1,3.3,14,10,73,13,3,234.2,603.3,,,1995-01-01,1995-03-27,2014-10-21,9,FALSE
"77","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","CHARLTON STREAM",7774,1,"ST",94800,86560,"ST9480086560",394800,186560,"GB109053027770",70,1.4,9.9,2,5.3,18.21,25,65,8,2,219.6,548,,,1995-01-01,1995-03-27,2008-10-16,7,FALSE
"78","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7775,1,"ST",81541,60468,"ST8154160468",381541,160468,"GB109053027372",30,0.5,70,6,21.7,166.53,3,27,22,48,245.4,679,,,1995-01-01,1995-05-01,2016-11-01,12,FALSE
"79","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","SUTTON BENGER STREAM",7776,1,"ST",94647,79010,"ST9464779010",394647,179010,"GB109053027700",60,2.2,9,1,2.5,25.67,7,60,23,10,228.1,785,,,1995-01-01,1995-04-04,2016-11-10,11,FALSE
"80","SOUTH WEST - NORTH WESSEX","BRISTOL AVON","RIVER: Natural/semi-natural flowing fresh watercourse","BRISTOL AVON",7777,1,"ST",97897,82198,"ST9789782198",397897,182198,"GB109053027650",60,0.9,27.8,5,12.8,116.67,3,65,23,8,243.1,640.3,,,1995-01-01,1995-03-30,2016-10-20,11,FALSE
